"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",1.8,9827.2,420.6,54550.8,10895.6,0,6492.8,8372.8,145529.2,13838.2,1052.5,882,922,19313.6,12.5,125,821.6,180,6053.1,260.4,0,0
"2",3.5,10188,460.6,54550.8,13619.5,0,5615.2,7460.4,152865.6,14580.4,1082.4,1223,781.6,20456.6,12.5,100,761.6,160,6053.1,220,0,0
"3",5.3,9947.4,340.2,54514.4,9079.7,7263.8,5675.4,6668.3,145565.5,14680.6,826.8,1127.8,1022.4,21198.8,37.5,240.2,821.8,210,4539.8,80,0,0
"4",7.1,10488.8,561,54550.8,9079.7,0,6116.6,8122.3,145601.9,14560.4,862,1403.5,1202.8,21459.6,37.5,150,661.2,240,6053.1,160,0,0
"5",8.8,10148,440.6,54550.8,7263.8,3631.9,6893.8,8398,145565.5,13356.8,801.8,1142.8,1042.4,20838,25,160.2,721.6,260,6053.1,200.3,0,0
"6",10.6,9486,300.4,50882.6,9079.7,0,5364.5,9325.8,145565.5,14841.2,841.8,922,882,20416.6,25,100,741.6,230,6053.1,300.3,0,0
"7",12.4,9225.4,280.2,50882.6,13619.5,0,6317.3,8097.3,141933.7,14740.6,1052.5,982.2,681.4,20296.2,33.3,60,1162.8,290,0,125,0,0
"8",14.1,9706.4,561,54550.8,9079.7,0,6091.8,6868.5,138301.8,14159,902,1328.3,601.2,20497,87.5,267,982.4,210,0,360.4,0,0
