Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
115,681;267,0;401,0;27303310,0;32344,7;1425008,0;96241,0;734784,0;66441,0;13740,0;43884,0;2248,0;44434,0;18188,0;16289,0;46134,5;17389,0;100319,0;51962,7;145392,0;72993,0;14340,0;21137,5;75596,0;322024,0;202394,0;212378,0;246306,0;306488,0;245552,0
117,075;48225,0;18722,3;316430080,0;187493,0;21474964,0;676919,0;818000,0;198886,0;15739,5;138378,0;5495,5;99919,0;41784,0;32384,0;59787,5;36434,0;212530,0;87449,3;269656,0;134522,0;26985,0;34234,0;97966,0;502712,0;304328,0;313776,0;327804,0;433924,0;319512,0
118,468;59869,7;23203,3;369158784,0;195553,1;23892754,0;754152,5;834392,0;213032,0;9892,5;156468,0;4496,0;99018,0;45034,0;32034,0;64540,0;36234,0;223618,0;93604,7;275280,0;135874,0;23136,0;36934,0;106327,0;502308,0;320164,0;322528,0;342796,0;413820,0;325540,0
119,862;56524,3;23136,3;372495744,0;194060,4;23721198,0;774936,7;821656,0;205308,0;10942,0;159324,0;5545,5;98767,0;47384,0;31034,5;59938,0;32634,0;222766,0;89894,7;294176,0;128962,0;23286,5;30184,5;107028,0;488380,0;319708,0;341836,0;344856,0;429844,0;321168,0
121,256;54917,7;24540,7;381649120,0;188272,7;23802392,0;793936,9;827232,0;206208,0;10442,5;161028,0;4846,0;103673,0;44784,0;33084,0;60438,0;35984,0;214136,0;96726,0;291060,0;139682,0;25685,5;35234,0;103824,0;497716,0;304376,0;338772,0;349688,0;442492,0;316192,0
122,650;56791,7;21063,0;392817888,0;195301,9;23936184,0;771893,5;827784,0;206662,0;8543,5;158122,0;5395,5;102723,0;46434,0;33584,0;66090,0;36634,0;217346,0;90485,0;293724,0;131567,0;25335,5;31934,5;103624,0;503972,0;305284,0;321624,0;338468,0;439924,0;308648,0
124,043;58733,0;22133,3;371001536,0;200694,0;24241104,0;755413,1;820968,0;208114,0;11191,5;154312,0;5645,0;103473,0;45334,0;35134,0;66191,0;34634,0;221610,0;91665,3;266644,0;136526,0;24436,0;31084,5;100720,0;503772,0;311864,0;308300,0;335248,0;434228,0;314632,0
125,437;54850,7;24273,3;368510688,0;187984,4;23624512,0;752187,9;812384,0;202598,0;9992,5;156118,0;4796,0;102272,0;44434,0;33384,0;59037,5;33834,0;221310,0;89051,7;281360,0;129563,0;23986,5;34534,0;101822,0;520176,0;313928,0;321316,0;337616,0;419464,0;309204,0
126,831;54918,0;25276,7;369950784,0;189275,6;23564314,0;749918,8;810056,0;203300,0;11091,5;153662,0;5495,5;97166,0;46834,0;34134,0;60888,5;33234,0;215090,0;94955,3;285836,0;127960,0;23486,5;32184,0;99969,0;476732,0;306236,0;330520,0;332432,0;419364,0;317948,0
128,225;56724,3;25143,0;389258784,0;189501,1;24061542,0;785417,1;805712,0;204854,0;9443,0;158724,0;5945,0;108180,0;46634,5;31284,0;65140,5;37184,0;215740,0;98665,7;303424,0;139430,0;24536,0;37734,0;107729,0;494384,0;305132,0;340732,0;351648,0;445816,0;334340,0
129,618;53980,3;22735,0;388864640,0;202622,3;24427210,0;810359,1;839736,0;213534,0;11191,5;167394,0;6844,5;111584,0;44834,0;38284,0;67191,5;34584,0;219854,0;95545,7;310408,0;143440,0;22986,5;35834,0;108230,0;516592,0;313476,0;322928,0;339172,0;439720,0;318556,0
