"Temps";"Li7";"B11";"Mg25";"Ca43";"Ti49";"V51";"Cr53";"Mn55";"Ni60";"Cu65";"Zn66";"Rb85";"Sr86";"Y89";"Mo97";"Cd111";"Sn118";"Ba138";"Pb208";"Th232";"U238"
58.3;83111.6;29702.6;40564.5;1054164.2;18917.5;342233.6;32771.2;419995.5;74426.8;73725.4;29923.2;275648.8;122320.8;310995;28960.8;17248;101710.8;371215.4;186621.2;239148;244241.6
60.1;81287.4;31206.8;40442.6;1048300.5;16166.3;334814.4;29622.4;416038.4;81046;70917.6;30224.2;267744.8;127294.8;312347.5;27757.4;18812.2;100750;378209.4;189268;244259.2;237441.6
61.9;82771;27837.6;39748.4;1032901.4;79620.3;330482.4;31608;387659;73805.6;72983.8;26513.8;263053.6;125550;302649;28138.4;15824;98487.6;353127.5;181185.6;235056;236319.2
63.6;76031.8;27075.2;38036.3;1018828.5;16980.5;313955.2;29121;397723.3;75229.6;65101.2;26353.4;255052.8;123022.8;288584.5;25531;14981.4;96915.6;365039.3;175008.4;226872.8;220716
65.4;78157.8;26112.4;46118.4;970573.3;16267.5;309504.8;28038;388766.1;73765.6;62975.4;28920.4;256916.8;121840.4;296330;25290.2;16766.4;96545.6;345223.5;172360;227334.4;223061.6
67.2;76132.6;21660;48372.4;960899.1;16106.3;306834.4;28379.2;395623.2;68871.8;70737.2;26052.4;249816;117608.4;288648;26554;16686.2;92141.6;344485.8;170997.2;221938.4;220233.6
68.9;76794;23966.8;35456.3;953750.6;16351.9;308220.8;30765.8;377101.5;67568.4;65582.4;26132.6;251222.4;118470.4;284143;27336;15462.8;94373.2;355162.9;165581.6;223564;216925.6
70.7;76353;28358.8;35217.8;947982.7;16254.4;300356.8;29743;374799;77195.2;61711.8;25089.8;249133.6;118049.6;282967;25450.6;15683.4;93632.8;336763.8;166524.8;217106.4;213716
72.5;70616.6;22562.8;35209.7;920625.4;13542.2;301560.8;29502;369268.8;65262.2;61832.8;23926.6;231586.4;113837.6;275273;24448;14359.8;88217.2;336632.3;165622;222019.2;208200.8
74.2;72602.4;23064;35010.6;910087.7;16158.8;290690.4;29261.4;353715;68030;62855.6;24347.6;238646.4;114098.4;274596;25671.2;15984;89918.8;334809.3;164198.4;219793.6;211570.4
76;71779.6;19293.6;37852.5;910947.5;16898.4;290310.4;27657.2;379525.4;70596.6;60609.2;25009.6;240310.4;110287.2;281778.5;24327.6;16786.6;89638.8;325288.2;174768;222461.6;201402.4
77.8;74367.4;21840.8;35660.6;946213.7;16458.8;293879.2;27195.6;365795.7;64319.4;64359.2;25069.6;234172.8;115442;277762;25711.4;15021.6;85054;349309.5;168570.4;219352.8;202124.4
79.5;69393.6;19514.4;34848.1;940738.9;16083.8;281064;29261.4;365530;65482.6;61531.8;22863.4;230102.4;110187.2;270404;23605.4;14400;87696.6;317144.7;171077.2;211208.8;205373.6
81.3;70215.6;25069.6;32497.5;896145.7;13540.6;290049.6;26353.4;358420.3;72241.2;59906.8;24367.6;223784.8;112554.4;273020;23385;16385.2;85544.4;320398.3;163836.4;203768.8;215621.6
83.1;68130.4;22723;29782;865248.3;10820;278496.8;27396.4;363389.7;64500;58002;24227.6;221597.6;109184.4;261608.3;22582.6;13958.6;83943;339017.7;174125.6;201562.4;187162.8
84.8;68009.6;29883.3;37931.3;842182.5;13546.9;274646.4;24628.4;358558.7;58323;57400.2;21580;220916.8;110769.2;268428;23023.8;15061.6;85554.8;312418;159865.6;200840.8;184494.4
86.6;70015.2;31788.3;32156.3;849032.6;16748;267866.4;23906.4;349137.3;60869.6;55294.2;22582.8;218148.8;107540.4;252224.5;22161.6;13878.2;84524;298222.4;156877.2;186500.4;188666.8
88.4;64319;19153.2;32613.8;817464.4;13589.1;256896.8;25370.6;354239.7;61792.6;54612.2;21880.8;212473.6;105032.8;250685;20637.4;13878.4;81430.2;294257.8;154591.6;190070;182529.2
