"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",30.1,NA,947.4625,44806.7625,3453091.4875,NA,NA,NA,116508.0875,NA,NA,NA,NA,1838371.3,101.0375,NA,NA,NA,31980.8125,NA,NA,0
"2",31.8,NA,1428.8625,44771.6625,3921123.2875,NA,NA,NA,112929.0875,NA,NA,NA,335.5,1951433.7,126.0375,164.85,NA,NA,35489.6125,NA,NA,0
"3",33.6,NA,1248.4625,44771.6625,4146210.2875,NA,NA,NA,116472.9875,NA,NA,NA,NA,2027542.5,101.0375,NA,NA,NA,42507.1125,NA,NA,0
"4",35.4,NA,1228.4625,41227.8625,4568418.0875,NA,NA,NA,112964.1875,NA,NA,NA,575.9,2149974.5,126.0375,NA,NA,NA,35489.6125,NA,NA,0
"5",37.1,NA,1489.2625,52718.9625,4888731.3875,NA,NA,NA,116472.9875,NA,NA,NA,335.3,2135056.1,63.5375,NA,NA,NA,38998.3125,NA,NA,0
"6",38.9,NA,967.6625,44736.5625,4104069.5875,NA,NA,NA,129692.1875,NA,NA,NA,355.3,1887177.7,101.0375,NA,NA,NA,35489.6125,NA,NA,0
"7",40.7,NA,847.2625,52718.9625,3966737.6875,NA,NA,NA,112964.1875,NA,NA,NA,NA,1794460.9,NA,NA,NA,NA,31980.8125,NA,NA,0
"8",42.4,NA,867.4625,41262.8625,3681791.7875,NA,NA,NA,112964.1875,NA,NA,NA,NA,1789590.5,101.0375,NA,NA,NA,38998.3125,NA,NA,0
"9",44.2,NA,747.2625,37754.1625,4040736.7875,NA,NA,NA,112964.1875,NA,NA,NA,NA,1839734.5,63.5375,NA,NA,NA,35489.6125,NA,NA,0
"10",46,NA,1007.8625,44771.6625,3706492.9875,NA,NA,NA,112964.1875,NA,NA,NA,NA,1763606.5,NA,NA,NA,NA,28472.1125,NA,NA,0
"11",47.7,NA,907.6625,41262.8625,3892878.2875,NA,NA,NA,112929.0875,NA,NA,NA,NA,1797916.9,NA,NA,NA,NA,35489.6125,NA,NA,0
"12",49.5,NA,887.4625,48289.1625,3706528.0875,NA,NA,NA,112964.1875,NA,NA,NA,315.3,1775996.9,NA,NA,NA,NA,31980.8125,NA,NA,0
"13",51.3,NA,1128.0625,41262.8625,3745054.6875,NA,NA,NA,109455.4875,NA,NA,NA,315.1,1768470.5,NA,164.85,NA,NA,35489.6125,NA,NA,0
"14",53,NA,626.6625,43903.2625,3833193.9875,NA,NA,NA,116508.0875,NA,NA,NA,375.5,1914249.7,NA,NA,NA,NA,35524.6125,NA,NA,0
"15",54.8,NA,606.6625,37754.1625,4325752.4875,NA,NA,NA,109490.5875,NA,NA,NA,NA,1904521.7,88.5375,NA,NA,NA,31980.8125,NA,NA,0
"16",56.6,NA,727.0625,37719.0625,4167367.6875,NA,NA,NA,120016.7875,NA,NA,NA,475.9,2273360.1,63.5375,NA,NA,NA,42507.1125,NA,NA,0
"17",58.3,NA,947.6625,37754.1625,4005578.7875,NA,NA,NA,109420.3875,NA,NA,NA,435.5,1728784.1,NA,NA,NA,NA,35489.6125,NA,NA,0
"18",60.1,NA,626.8625,44771.6625,4381963.0875,NA,NA,NA,120016.7875,NA,NA,NA,435.7,1916298.7,NA,NA,NA,NA,46050.9125,NA,NA,0
"19",61.9,NA,727.0625,41227.8625,4343331.2875,NA,NA,NA,109385.2875,NA,NA,NA,375.3,1880154.2,118.9375,NA,NA,NA,42542.1125,NA,NA,0
"20",63.6,NA,526.4625,44771.6625,4540347.7875,NA,NA,NA,112964.1875,NA,NA,NA,NA,1309751.5,138.5375,NA,NA,NA,31980.8125,NA,NA,0
"21",65.4,NA,586.6625,44806.7625,2967550.5875,NA,NA,NA,105911.5875,NA,NA,NA,NA,1644790.5,NA,NA,NA,NA,35489.6125,NA,NA,0
"22",67.2,NA,486.2625,48289.1625,3840211.3875,NA,NA,NA,105911.5875,NA,NA,NA,NA,1638128.1,101.0375,NA,NA,NA,31980.8125,NA,NA,0
