Temps;Li7;B11;Mg25;Ca43;Ti49;V51;Cr53;Mn55;Ni60;Cu65;Zn66;Rb85;Sr86;Y89;Mo97;Cd111;Sn118;Ba138;Pb208;Th232;U238
1.8;9084.8;300.4;0;0;0;3409;6141.5;7017.5;14500.2;952.3;1554;801.8;17649.2;37.5;125;942.2;250;0;160;0;0
3.5;8844.4;340.4;0;0;0;2933;5690.5;4385.9;15242.2;601.4;942;801.6;16565.8;12.5;125;741.6;200;5847.9;260.2;25;0
5.3;9245.4;400.8;0;5847.9;0;2481.3;3990.8;3508.8;13477.4;927;982.4;901.8;16947;62.5;75;821.8;230;4385.9;160.2;0;0
7.1;7921.6;380.8;8771.9;0;7017.5;2381.3;6643;8771.9;15382.4;681.4;1027.3;902;17328.2;0;140;982;230;0;175;0;0
8.8;8041.8;400.5;5847.9;0;4385.9;2932.8;5615.3;8771.9;14058.8;1102.5;1163;741.4;18070;12.5;80;641.2;300;4385.9;140;75;0
10.6;8643.6;380.6;5847.9;0;0;2326;5665.3;7017.5;14520.2;977.3;1127.8;721.4;17107.4;16.7;180.2;781.6;300;0;100;0;0
12.4;8202.6;260.2;8771.9;4385.9;4385.9;2983;6066.5;4385.9;14219.4;601.2;1122.6;601.4;16686.2;25;60;561.2;130;4385.9;200;0;0
14.1;6357.4;380.6;5847.9;5847.9;0;2456.3;5414.8;8771.9;13958.4;751.5;1162.8;827;16887;25;100;952;200;5847.9;200.2;0;0
15.9;7941.6;340.4;8771.9;5847.9;5847.9;2682;5214.3;4385.9;13417.2;761.6;1022.4;761.6;17488.4;12.5;240.2;781.6;280;0;120;0;0
17.7;8283;300.6;0;0;0;3459.3;6593;5847.9;13397;541;942.2;561;17147.6;12.5;125;701.4;200;0;160;0;0
19.4;8663.8;340.4;8771.9;3508.8;4385.9;2606.8;5189;3508.8;13116.2;641.2;841.8;1002.4;17147.8;12.5;200.5;621.4;220;0;200.2;0;20
21.2;7821.4;280.2;7017.5;0;0;2757.3;6944;13157.8;13417;876.8;1223;721.6;141775.6;50;25;701.4;220;3508.8;380.8;0;33.3
23;7781.2;1022.4;8771.9;70245.2;7017.5;2205.8;6091.8;7017.5;12655;841.8;1925;962.4;800172.8;75;300.5;681.6;350;0;160.2;0;0
24.7;8463.2;1283.2;8771.9;1596350.2;5847.9;1980;5515;115999.3;13376.8;902;1644;801.8;1235075.5;162.5;167;701.4;260;35131.4;160.2;0;0
26.5;7520.8;1644.2;52675.1;3036472.5;0;2406.3;5815.5;119578.2;12695;601;1624;1022.4;1491763.2;100;160;781.8;220;31578.8;120;0;0
28.3;7661;1202.8;49157.6;3261664;0;2782.3;5715.5;112525.6;13758;781.6;1203;701.4;1628620.8;62.5;240.4;500.8;170;31578.8;180.2;0;0
30.1;8062.2;1303;49192.7;3455101.7;0;2531.8;5389.8;123087;13697.8;500.8;1624;1082.4;1855526.4;125;125;641.4;262.5;35087.5;40;0;0
31.8;8122.2;1784.4;49157.6;3923133.5;0;2531.8;5991.3;119508;14038.8;681.4;1263.2;1122.8;1968588.8;150;275.5;1002.4;270;38596.3;200.2;0;0
33.6;7260;1604;49157.6;4148220.5;0;2185.6;5665.5;123051.9;14098.8;751.5;1162.6;1082.6;2044697.6;125;125;661.2;330;45613.8;100;0;0
35.4;7560.6;1584;45613.8;4570428.3;0;2105.4;5765.8;119543.1;14199.4;761.4;1082.4;1363.2;2167129.6;150;100;881.8;240;38596.3;175;0;0
37.1;8202.4;1844.8;57104.9;4890741.6;0;2255.8;5715.5;123051.9;13557.6;877;962.2;1122.6;2152211.2;87.5;60;942;250;42105;75;0;0
38.9;6998.8;1323.2;49122.5;4106079.8;7017.5;2406.3;5364.8;136271.1;13196.4;701.4;1604;1142.6;1904332.8;125;100;721.4;280;38596.3;140.2;0;0
40.7;7280;1202.8;57104.9;3968747.9;0;2165.6;5314.5;119543.1;13035.8;761.6;1062.6;821.8;1811616;62.5;120;842;290;35087.5;66.7;0;0
42.4;7540.6;1223;45648.8;3683802;4385.9;2581.5;5053.6;119543.1;13497.2;902;862;841.6;1806745.6;125;100;601.4;240;42105;160;0;0
44.2;6939;1102.8;42140.1;4042747;0;1879.8;6693.3;119543.1;12193.6;1082.6;1563.6;1062.4;1856889.6;87.5;33.3;862;375;38596.3;160;0;0
46;6838.6;1363.4;49157.6;3708503.2;0;2682.3;5063.8;119543.1;12394.4;1177.8;942.2;1002.4;1780761.6;62.5;125;1062.4;350;31578.8;175.3;0;0
47.7;6417.4;1263.2;45648.8;3894888.5;0;2305.8;5139.3;119508;12073.4;876.8;1077.8;721.4;1815072;62.5;150;1052.5;180;38596.3;100;0;0
49.5;7099.4;1243;52675.1;3708538.3;0;2230.8;6041.5;119543.1;13036.2;952.3;1303.3;1102.6;1793152;62.5;66.7;481;190;35087.5;300.5;0;0
51.3;6497.6;1483.6;45648.8;3747064.9;0;2130.5;5514.8;116034.4;12996;801.8;1453.8;1102.4;1785625.6;75;275.5;661.6;230;38596.3;140;0;0
53;7961.8;982.2;48289.2;3835204.2;4385.9;1729.5;5339.5;123087;12895.4;1062.6;1077.5;1162.8;1931404.8;62.5;160;1102.8;280;38631.3;125;0;0
54.8;7340;962.2;42140.1;4327762.7;5847.9;2055.3;5740.8;116069.5;13718;826.8;922;801.8;1921676.8;112.5;66.7;681.4;210;35087.5;140;0;0
56.6;7219.6;1082.6;42105;4169377.9;0;2005.3;4963.3;126595.7;12534.4;561.2;1483.8;1263.2;2290515.2;87.5;175.3;826.8;290;45613.8;100;0;0
58.3;7039.2;1303.2;42140.1;4007589;0;1704.2;5816;115999.3;13537.2;1002.4;1077.8;1222.8;1745939.2;75;120;641.2;200;38596.3;160;0;0
60.1;7360.2;982.4;49157.6;4383973.3;0;2230.8;5966.3;126595.7;12193.6;741.6;801.6;1223;1933453.8;75;200;521;280;49157.6;150;0;0
61.9;7640.8;1082.6;45613.8;4345341.5;0;2285.8;4612.2;115964.2;14560.2;641.4;1027.5;1162.6;1897309.3;142.9;200.2;1162.8;250;45648.8;140;0;0
63.6;7420.4;882;49157.6;4542358;7017.5;1579;6191.8;119543.1;12434.4;721.6;1202.8;901.8;1326906.6;162.5;75;1027.3;287.5;35087.5;100;0;0
65.4;6918.8;942.2;49192.7;2969560.8;0;2030.3;5941;112490.5;12434.6;881.8;1027.3;1042.2;1661945.6;75;66.7;922.2;210;38596.3;80;0;0
67.2;6858.8;841.8;52675.1;3842221.6;0;1553.5;4712.6;112490.5;13075.8;801.8;1242.8;1027.5;1655283.2;125;50;701.6;250;35087.5;140;0;0
68.9;6618;801.8;42105;3356646;0;1784.2;4963.5;112490.5;13236.4;1162.6;1428.5;1163;1744864;62.5;140.2;400.8;175;28070;33.3;0;0
70.7;7119.4;942;45648.8;2948368.1;0;1884.6;4838.3;108946.7;12955.6;601.2;1077.5;1227.8;1462240;87.5;125;581.2;325;35087.5;200;0;0
