"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",30.1,NA,1220.7625,NA,3411540.7,NA,NA,NA,31223.5,NA,NA,NA,NA,1868442.95,NA,172.875,NA,NA,33113.8125,NA,NA,0
"2",31.8,NA,1281.1625,NA,3766976.9,NA,NA,NA,45328.7,NA,NA,NA,709.325,2224282.95,NA,NA,NA,NA,43640.1125,NA,NA,0
"3",33.6,NA,1321.3625,NA,4389744.9,NA,NA,NA,41819.9,NA,NA,464.9625,NA,2360820.55,184.375,NA,NA,NA,47183.9125,NA,NA,0
"4",35.4,NA,1020.3625,NA,4435499,NA,NA,NA,45328.7,NA,NA,NA,NA,2446038.45,NA,NA,NA,NA,47183.9125,NA,NA,0
"5",37.1,NA,1220.7625,NA,4836654.2,7785.0625,NA,NA,48872.5,NA,NA,690.4625,629.425,2417204.55,96.875,NA,NA,NA,47183.9125,NA,NA,0
"6",38.9,NA,859.9625,NA,4537533.4,NA,NA,NA,45363.8,NA,NA,NA,488.925,2393377.35,59.375,NA,NA,NA,43640.1125,NA,NA,0
"7",40.7,NA,980.1625,NA,4277184.2,NA,NA,NA,38241,NA,NA,NA,NA,2075694.15,NA,NA,NA,NA,43640.1125,NA,NA,0
"8",42.4,NA,980.1625,NA,3696556.5,NA,NA,NA,38311.2,NA,NA,NA,NA,1920276.55,NA,NA,NA,NA,43675.1125,NA,NA,0
"9",44.2,NA,1281.1625,NA,4210307.5,NA,NA,NA,38311.2,NA,NA,NA,2108.425,2219764.55,NA,NA,NA,NA,47148.8125,NA,NA,0
"10",46,NA,860.1625,NA,3914765.2,7785.0625,NA,NA,34732.3,NA,NA,NA,729.525,2138202.95,NA,NA,NA,NA,47148.8125,NA,NA,280.6
"11",47.7,NA,779.5625,NA,3988694.6,NA,NA,NA,34732.3,NA,NA,NA,548.925,2113959.75,NA,NA,NA,NA,40131.3125,NA,NA,0
"12",49.5,NA,739.5625,NA,4118799.3,NA,NA,NA,34802.4,NA,NA,640.4625,NA,2021191.75,NA,NA,NA,NA,43675.1125,NA,NA,0
"13",51.3,NA,880.1625,NA,3978098.2,NA,NA,NA,34767.3,NA,NA,NA,709.525,2080762.95,71.875,NA,NA,NA,40131.3125,NA,NA,0
"14",53,NA,839.7625,NA,3918239.1,NA,NA,NA,34767.3,NA,NA,NA,NA,2147777.35,96.875,NA,NA,NA,47148.8125,NA,NA,0
"15",54.8,NA,980.1625,NA,4382727.4,NA,NA,NA,41855,NA,NA,NA,569.125,2180129.35,NA,NA,NA,NA,50692.6125,NA,NA,0
"16",56.6,NA,839.7625,NA,4301850.5,NA,NA,NA,31223.5,NA,NA,NA,609.325,2135214.15,109.375,NA,NA,NA,47148.8125,NA,NA,0
"17",58.3,NA,819.7625,NA,4227921.2,NA,NA,NA,38311.2,NA,NA,NA,NA,2232641.35,71.875,NA,NA,NA,47183.9125,NA,NA,0
"18",60.1,NA,879.7625,NA,4643146.7,NA,NA,NA,38311.2,NA,NA,NA,NA,1992388.95,NA,NA,NA,NA,47183.9125,NA,NA,0
"19",61.9,NA,1020.4625,NA,3890099.1,NA,NA,NA,38276.1,NA,NA,NA,548.925,2381300.55,NA,NA,NA,NA,47148.8125,NA,NA,20
"20",63.6,NA,679.3625,NA,4284236.6,NA,NA,NA,31258.6,NA,NA,NA,729.725,1999642.95,84.375,NA,NA,NA,47183.9125,NA,NA,0
"21",65.4,NA,779.7625,NA,3517153.9,NA,NA,NA,34767.3,NA,NA,NA,549.125,1924379.05,121.875,NA,NA,NA,40131.3125,NA,NA,0
"22",67.2,NA,739.3625,NA,3650942.2,NA,NA,NA,20662.2,NA,NA,NA,NA,2078539.45,NA,NA,NA,NA,43675.1125,NA,NA,0
"23",68.9,NA,538.9625,NA,2845088.1,NA,NA,NA,20662.2,NA,NA,NA,NA,1588775.75,NA,NA,NA,NA,29605.1125,NA,NA,0
"24",70.7,NA,538.9625,NA,2524879.4,NA,NA,NA,17153.4,NA,NA,NA,NA,1323294.15,71.875,247.875,NA,NA,33113.8125,NA,NA,0
"25",72.5,NA,679.1625,NA,2630457.6,NA,NA,NA,13679.8,NA,NA,NA,NA,1469844.55,NA,NA,NA,NA,29605.1125,NA,NA,0
"26",74.2,NA,679.3625,NA,2750105.8,NA,NA,NA,13644.7,NA,NA,NA,588.925,1609124.05,NA,NA,NA,NA,33113.8125,NA,NA,0
"27",76,NA,699.3625,NA,3650872.1,NA,NA,NA,20697.3,NA,NA,NA,NA,1640679.75,84.375,NA,NA,NA,43640.1125,NA,NA,0
"28",77.8,NA,739.5625,NA,2933122.2,NA,NA,NA,20697.3,NA,NA,NA,NA,1631809.35,84.375,NA,NA,NA,33113.8125,NA,NA,0
"29",79.5,NA,1040.1625,NA,2630457.6,NA,NA,NA,13644.7,NA,NA,NA,NA,1460929.35,59.375,NA,NA,NA,29605.1125,NA,NA,0
"30",81.3,NA,779.5625,NA,2655159.1,NA,NA,NA,NA,NA,NA,NA,689.525,1531367.95,NA,NA,NA,NA,33113.8125,NA,NA,0
"31",83.1,NA,1270.9625,NA,2940069.9,NA,NA,1231.375,17153.4,NA,NA,NA,549.125,1690721.35,NA,NA,NA,NA,43675.1125,NA,NA,0
"32",84.8,NA,498.7625,NA,3752907,NA,NA,NA,24206,NA,NA,NA,529.125,1377620.85,NA,NA,NA,NA,36622.6125,NA,NA,0
