Analysis;Time/Rank
NIST 612 -1.csv;1
NIST 612 -2.csv;5
NIST 612 -3.csv;9
NIST 612 -4.csv;13
Bc_02_11_12_G_Spot1.csv;2
Bc_02_11_12_G_Spot2.csv;3
Bc_02_11_12_G_Spot3.csv;4
Bc_06_02_04_G_Spot1.csv;6
Bc_06_02_04_G_Spot2.csv;7
Bc_06_02_04_G_Spot3.csv;8
Bc_08_A_01_G_Spot1.csv;10
Bc_08_A_01_G_Spot2.csv;11
Bc_08_A_01_G_Spot3.csv;12
