Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
45,995;200,3;668,0;418912,0;11042,0;83352,0;838,2;766824,0;37284,0;3446,5;199,5;349,0;1198,5;149,0;549,0;27285,5;0,0;49,5;26774,5;49,5;3147,0;0,0;0,0;49,5;149,0;0,0;0,0;0,0;0,0;0,0
47,388;200,3;334,0;454992,0;12041,5;82901,0;1207,3;773504,0;37484,5;3447,0;249,0;449,0;649,0;249,0;399,0;28235,5;49,5;99,0;21805,8;0,0;2048,0;0,0;0,0;199,0;0,0;0,0;49,5;0,0;0,0;0,0
48,782;400,7;735,0;434732,0;12840,5;82901,0;1274,3;765352,0;40234,0;3546,5;49,5;399,0;1348,0;449,0;349,0;25186,0;49,5;149,0;22816,3;149,5;2197,5;0,0;0,0;0,0;49,5;49,5;0,0;0,0;0,0;0,0
50,176;334,0;401,0;435640,0;11941,5;79148,0;1509,3;760880,0;37784,0;3547,0;349,0;649,0;699,0;149,0;249,0;28235,5;49,5;49,5;20289,7;199,0;3297,0;99,5;0,0;49,5;99,5;49,5;0,0;0,0;0,0;0,0
51,569;267,0;668,0;439872,0;12541,0;79398,0;1140,2;773048,0;37084,0;3746,5;349,0;699,0;799,0;299,0;299,0;27236,0;49,5;49,5;21637,3;0,0;2547,5;99,0;0,0;149,0;0,0;0,0;0,0;0,0;0,0;0,0
52,963;333,7;333,7;419516,0;13940,0;80449,0;1073,0;761472,0;35734,5;3846,5;399,0;549,0;449,0;249,0;349,0;27935,0;199,0;49,5;25090,2;0,0;2947,0;0,0;0,0;149,0;99,5;0,0;0,0;0,0;0,0;0,0
54,357;334,0;601,3;425864,0;11641,5;79849,0;972,5;754376,0;35984,5;2897,5;499,0;699,0;949,0;149,0;549,0;29085,5;99,5;149,0;21132,2;99,0;2797,5;0,0;0,0;149,0;149,0;99,0;0,0;0,0;0,0;0,0
55,751;200,0;668,0;442692,0;12341,0;85004,0;1542,7;768344,0;35334,5;3796,5;99,5;549,0;449,0;149,0;699,0;25736,0;49,5;49,5;22142,7;149,0;2747,5;49,5;0,0;199,0;149,5;0,0;0,0;0,0;0,0;49,5
57,144;133,3;601,0;417500,0;13290,5;80649,0;1207,3;750624,0;34484,5;3197,0;99,0;549,0;699,0;349,0;449,0;27485,5;149,0;0,0;24837,5;49,5;2547,5;49,5;99,0;0,0;0,0;149,5;0,0;0,0;0,0;0,0
58,538;267,0;868,3;415888,0;12141,5;79549,0;1039,7;750088,0;38934,0;3846,5;199,0;349,0;898,5;249,0;399,0;25935,5;0,0;0,0;24416,3;99,5;2897,5;0,0;0,0;49,5;49,5;99,5;0,0;0,0;0,0;0,0
