"","","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1","mean","Bc_08_A_01_G_Spot1.csv","NaN","4.70518475503822e-06","0.000172817962524438","1","6.25645403037355e-05","NaN","NaN","4.29204047171717e-05","NaN","NaN","1.97117311108216e-06","1.3420730747955e-07","0.00455960672828881","2.26845614759709e-08","2.6043406393372e-07","NaN","1.49926684288337e-07","5.03023307590004e-06","NaN","0","3.94860980801135e-10"
"2","mean","Bc_08_A_01_G_Spot2.csv","NaN","1.93702745790557e-06","NaN","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.98366076606881e-07","0.00486289286305003","2.1545605861342e-08","NaN","NaN","NaN","6.45381281487362e-06","NaN","0","0"
"3","mean","Bc_08_A_01_G_Spot3.csv","NaN","2.05497514906062e-06","0.000140567279585649","1","NaN","NaN","5.36563198259051e-06","3.91726360343722e-05","NaN","5.25259200784381e-07","1.61884992461975e-06","1.80787614494212e-07","0.0043527230570694","1.96687177589161e-08","NaN","NaN","NaN","7.72695749912243e-06","NaN","1.75937130907459e-10","0"
"4","sd","Bc_08_A_01_G_Spot1.csv",NA,"1.90348218359645e-06","3.44361364721477e-05","0",NA,NA,NA,"8.59168852028644e-06",NA,NA,"6.87538288788321e-07","3.52098382844668e-08","0.000741736203835138","9.31868208123511e-09","6.7791742373354e-08",NA,"3.10644631246384e-08","7.21393987338775e-07",NA,"0","1.27752738781411e-09"
"5","sd","Bc_08_A_01_G_Spot2.csv",NA,"5.46648171735429e-07",NA,"0",NA,NA,NA,NA,NA,NA,NA,"5.24657785377121e-08","0.000940112782192504","7.73727487153371e-09",NA,NA,NA,"9.38149731315919e-07",NA,"0","0"
"6","sd","Bc_08_A_01_G_Spot3.csv",NA,"5.0494664978124e-07","1.86250905129332e-05","0",NA,NA,NA,"6.17011074589615e-06",NA,NA,"4.16340610285761e-07","3.61240174404388e-08","0.000602790151747536","1.00586582762463e-08",NA,NA,NA,"1.01501685764242e-06",NA,"6.95413718210197e-10","0"
"7","total mean","-","NaN","2.9288275862287e-06","0.000156948578856145","1","6.25645403037355e-05","NaN","5.36563198259051e-06","4.10465203757719e-05","NaN","5.25259200784381e-07","1.85373204892802e-06","1.72888097428411e-07","0.00459139903009515","2.12102851631743e-08","2.6043406393372e-07","NaN","1.49926684288337e-07","6.38973843134266e-06","NaN","5.86457103024864e-11","1.30220110689736e-10"
"8","mean sd","-",NA,"1.75323313721553e-06","3.20145236706594e-05","0",NA,NA,NA,"7.65655756626663e-06",NA,NA,"6.26762028966972e-07","4.99520617120644e-08","0.00079347922824459","8.99183891138805e-09","6.7791742373354e-08",NA,"3.10644631246384e-08","1.4180923193168e-06",NA,"4.05903238876673e-10","7.49205125434951e-10"
