"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",1.8,12053.4,501,57517.6,13455.5,5980.2,5540,10679.3,244566.6,17989.8,1122.6,1553.5,801.8,41355.6,25,200.2,1283.2,210,3588.1,280.2,0,0
"2",3.5,11652,541,61105.8,13455.5,0,5113.8,11431.5,251814.6,15202,1353,1283.2,862,40573.2,12.5,225.3,1263.2,390,3588.1,441,0,0
"3",5.3,12655,862,61105.8,10764.4,0,5590.3,9004.6,248190.6,15683.4,942.2,1483.8,661.2,40693.6,62.5,240.2,1263.2,330,5980.2,225.3,0,0
"4",7.1,11391.4,801.4,64693.9,10764.4,5980.2,4687.5,11256.3,251778.7,15623.2,1182.6,1283.2,741.6,40954.4,12.5,175,1724.4,220,4485.2,320.6,0,0
"5",8.8,11912.6,480.8,64693.9,10764.4,8970.3,3970.4,10208,244602.5,15222.2,1603.8,1904.8,521,40192,25,325.5,1579,240,3588.1,480.8,0,0
"6",10.6,11451.8,761.6,68282,17940.6,8970.3,5139,12434,251778.7,15302.4,1177.8,1729.5,621.2,39951.2,50,140,1463.8,180,0,320.4,0,0
"7",12.4,11391.4,561,61105.8,10764.4,4485.2,4191.2,12058.5,240978.5,13918.4,861.8,1930,721.4,40533.2,50,180.2,1263,110,5980.2,400.6,0,0
"8",14.1,12795.2,601,64693.9,10764.4,3588.1,4938.3,11632,248190.6,14881.2,1062.4,1553.8,701.6,41937,25,200,1323,280,0,541,0,0
