Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
1,395;267;400,7;447432;9792,5;69591;1006;843528;38934,5;3447;699;499;599;299;399;25586;0;149;26943;0;2647,5;0;0;99,5;49,5;0;0;0;0;0
2,789;267;601,3;428180;11841,5;70692;1576,2;794560;37884;4596,5;1198,5;449;499;549;199;25536;49,5;49,5;23911,2;49,5;2148;49,5;199;249,5;99;1448,5;0;99,5;0;0
4,183;133,3;200;419212;19988,5;71993;3354,5;768352;33484,5;3796,5;949;599;799;99,5;199;25786,5;149,5;99,5;21216,2;0;2347,5;0;0;49,5;0;0;0;0;0;49,5
5,576;200,3;333,7;438472;11192;71393;1140,2;762672;34084,5;3696,5;699;449;499;99,5;449;24836,5;99,5;99;25932,2;0;2947;0;0;0;0;0;0;0;0;0
6,97;334;133,7;463164;11442;72894;1140,2;791024;35984,5;4396;899;499;699;399;349;26886;99,5;49,5;24079,3;0;2447,5;99;0;99,5;49,5;99,5;0;0;0;0
8,364;267;267,3;442292;9643;71543;1307,8;775040;34934,5;4096,5;749;299;649;349;249;26136;49,5;149,5;25932,3;0;2597,5;0;49,5;249;99,5;0;0;0;0;49,5
9,758;133,3;133,3;451768;10892;77998;1207,2;784456;33284,5;3446,5;799;199,5;149;99,5;249,5;29235,5;99;299;24669,3;199;2547,5;49,5;0;0;0;49,5;0;0;0;0
11,151;133,3;400,7;465584;13290,5;76647;1207,2;795360;35634,5;4096;449;349;499;49,5;349;24636;49,5;299;24416,3;0;2747;0;149;49,5;0;99,5;0;0;0;0
12,545;66,7;267,3;472444;10442,5;77797;1442,2;775344;33035;4446,5;699;699;349;249,5;349;25836;49,5;199;22984,8;0;2897;0;0;0;49,5;49,5;0;49,5;0;0
13,939;334;734,7;461952;12691;73144;871,8;787904;32984,5;4646;899;149,5;549;249;349;24386,5;0;99,5;22984,8;0;3347;99,5;0;199;149,5;49,5;0;0;0;0
15,333;133,7;467,3;479504;12091,5;79899;938,7;773024;34784,5;2347,5;998,5;499;399;249;399;28485,5;199,5;99,5;23405,8;0;2048;99;0;99;0;0;99;0;0;49,5
16,726;334;467,7;494436;13340,5;86555;1073;774992;34484,5;3247;699;249;749;199;449;27736;149;149;25595,5;0;2048;0;0;0;49,5;49,5;0;0;0;49,5
18,12;0;200,3;471736;12741;79799;1408,5;782040;38934;3896,5;949;799;349;99,5;499;26735,5;49,5;49,5;23574,5;0;2847,5;0;0;0;99,5;99;0;0;0;49,5
19,514;133,7;467,7;479304;10342,5;80800;1307,8;782504;35084,5;3497;799;499;299;49,5;549;25986;49,5;0;23153;49,5;3247;49,5;0;49,5;149,5;49,5;0;0;0;0
20,907;200,3;333,7;504124;11741,5;80500;1308;787416;33684,5;5345,5;1498,5;699;599;299;0;25486;0;99,5;25342,7;0;2297,5;0;49,5;149,5;99,5;0;0;0;0;49,5
22,301;200,3;601,3;478900;11592;79198;1811,2;779568;33785;4146,5;649;799;449;349;99;27186;0;0;24921,5;49,5;3347;99,5;0;0;49,5;149;0;0;0;0
23,695;333,7;133,3;488484;12491;79548;1207,3;774240;34884,5;4196,5;649;549;499;199;499;27685,5;49,5;49,5;25342,8;149;3047;0;0;49,5;99;99;0;0;0;149,5
25,089;66,7;200;488684;13340,5;82601;838,2;764376;35984;3946,5;999;349;299;399;449;24886;49,5;99,5;24248;0;3047;99,5;99,5;149;99,5;249;0;0;0;0
26,482;133,7;133,3;491004;11841,5;81850;1173,7;773200;36734,5;3197;549;549;949;249;249;25086;149,5;0;23321,7;0;3097;99,5;0;149;149,5;99,5;0;0;0;0
27,876;267;267;516236;12341,5;80600;1106,8;777880;35434;4346;799;449;449;349;349;24286,5;199,5;0;20121,5;49,5;2447,5;0;49,5;99,5;49,5;99,5;0;0;0;0
29,27;267;534,3;486464;10842;78247;1039,5;779848;35834;3797;849;599;399;349;149,5;24536,5;0;99;21637,5;199;2947,5;99,5;0;49,5;99;299;0;0;0;0
30,663;200;467,3;499480;14140;80149;1274,3;754056;35884,5;3746,5;699;499;549;299;99,5;25536;49,5;99,5;24500,3;49,5;2897;0;49,5;149;49,5;49,5;0;0;0;0
32,057;200,3;400,7;485956;12141,5;81701;1174;769704;38234;3347;949;549;549;149,5;549;25686;49,5;49,5;21468,8;99,5;2547,5;0;99;99,5;49,5;49,5;0;0;0;0
