"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",1.8,8603.8,400.6,45648.8,13157.8,0,2185.8,5715.5,112525.6,14560.2,661.2,681.2,861.8,17869.6,62.5,33.3,962.2,220,3508.8,150,0,0
"2",3.5,8583.6,360.6,45648.8,8771.9,0,2306,5414.5,119543.1,14259.4,821.6,741.6,876.8,17849.4,16.7,180.2,1062.6,220,8771.9,120,0,50
"3",5.3,7500.6,461,38596.3,8771.9,5847.9,2632,5188.8,112490.5,13397,1162.6,1428.5,521,18311,12.5,75,1102.6,180,0,200,0,0
"4",7.1,8543.4,260.4,42105,10526.3,0,3409,4612.4,108981.8,13156.6,801.8,942.4,460.8,16947,12.5,160,581,170,0,150,0,0
"5",8.8,7941.8,380.6,42140.1,13157.8,0,2581.8,5690.3,108981.8,13838,661.2,681.2,520.8,18090.2,37.5,140,821.8,290,0,100,0,0
"6",10.6,7199.8,400.8,49192.7,10526.3,4385.9,2506.5,5515,105437.9,13196.4,641.2,1182.8,721.4,17448.6,12.5,40,641.2,120,5847.9,80,0,0
"7",12.4,7701.2,280.4,42105,10526.3,5847.9,2957.8,5339.5,108981.8,12815.2,661.2,942,621.2,17388.2,0,140.2,721.4,330,0,100,0,0
"8",14.1,7500.8,220.2,45648.8,10526.3,0,2907.8,4913.2,101929.2,13517.2,741.4,1082.4,661.4,18631.8,12.5,300.5,721.4,150,8771.9,320.6,0,0
