"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",30.1,NA,NA,0.000138369115316961,1,NA,NA,NA,2.52755238592363e-05,NA,NA,NA,NA,0.00565620762538184,NA,NA,NA,NA,9.35902950789954e-06,NA,0,0
"2",31.8,NA,NA,0.000108258044515864,1,NA,NA,NA,2.27322113677265e-05,NA,NA,NA,NA,0.00584816401487854,NA,NA,NA,NA,NA,NA,6.26354090536142e-09,0
"3",33.6,NA,1.75484180056035e-05,0.000106506332369781,1,NA,NA,NA,1.75194836084627e-05,NA,NA,NA,NA,0.00469345821740043,NA,NA,NA,NA,8.01370681092233e-06,NA,5.36061557013111e-09,0
"4",35.4,NA,1.32037471778621e-05,NA,1,NA,NA,NA,1.51136232376592e-05,NA,NA,NA,NA,0.0053623150605048,1.99674669489383e-08,NA,NA,9.85439558344326e-08,NA,NA,0,0
"5",37.1,NA,8.83879301038094e-06,NA,1,NA,NA,NA,1.61903925030827e-05,NA,NA,NA,2.19698820695894e-07,0.00425233285280127,2.99343213450021e-08,NA,NA,1.27101740825614e-07,6.65737710918418e-06,NA,0,0
"6",38.9,NA,1.05345367592824e-05,0.000148736363857169,1,NA,NA,NA,2.44342076814467e-05,NA,NA,NA,NA,0.00560352365617347,3.40559518634526e-08,NA,NA,NA,7.78832631987525e-06,NA,0,0
"7",40.7,NA,1.14406781989881e-05,0.000166698728073926,1,NA,4.87788116744895e-07,NA,NA,NA,NA,NA,3.26264433736237e-07,NA,4.44581816115623e-08,NA,NA,NA,NA,NA,0,0
"8",42.4,NA,7.19856085875585e-06,0.000149745597926323,1,NA,NA,NA,2.06104120810042e-05,NA,NA,NA,NA,0.0041734489526345,NA,NA,NA,NA,7.95513125606973e-06,NA,0,0
"9",44.2,NA,5.84479096800673e-06,0.000134520167143541,1,NA,NA,NA,2.21396803842656e-05,NA,NA,NA,NA,0.00566684580612807,NA,NA,NA,NA,7.05308549642317e-06,NA,0,0
"10",46,NA,5.92606642784464e-06,0.000150220581252008,1,NA,NA,NA,2.47101458884243e-05,NA,8.79719706501521e-07,0.000161966977080802,NA,0.0056345243589571,4.00634963461418e-08,NA,NA,NA,6.73411709407792e-06,NA,0,0
"11",47.7,NA,6.08684181101234e-06,0.000134746718200999,1,NA,NA,NA,1.97279494996907e-05,NA,NA,NA,NA,0.00537953500799112,NA,NA,NA,NA,7.06496389362919e-06,NA,0,0
"12",49.5,NA,5.43772882129241e-06,0.000125369755953219,1,NA,NA,NA,2.37060479227168e-05,NA,NA,NA,NA,0.00550378275384782,NA,NA,NA,NA,8.65201071269005e-06,NA,0,0
"13",51.3,NA,4.43053207145254e-06,0.000129183766474195,1,NA,NA,NA,2.50724245390682e-05,NA,NA,NA,NA,0.00541860960769096,NA,NA,NA,NA,8.7377496026051e-06,NA,0,0
"14",53,NA,5.49246506784859e-06,0.000137580600290758,1,NA,NA,NA,1.89033508310369e-05,NA,NA,NA,NA,0.00611717712019678,3.69833510199299e-08,NA,NA,1.47312478803681e-07,6.37587947926182e-06,NA,0,0
"15",54.8,NA,4.1429038283344e-06,0.000150779339859006,1,NA,NA,NA,1.79818261800647e-05,NA,NA,NA,NA,0.00451878000025731,5.57424858675883e-08,NA,NA,NA,8.30733447573444e-06,NA,0,0
"16",56.6,NA,2.81057145306687e-06,0.00010971536303299,1,NA,NA,NA,1.96055213739384e-05,NA,NA,NA,NA,0.00505875022697183,NA,NA,NA,NA,7.57167060819924e-06,7.35201562492391e-08,0,0
"17",58.3,NA,4.28037407041439e-06,0.000133901663011919,1,NA,NA,NA,1.95787495570996e-05,NA,NA,NA,NA,0.00515403338015291,NA,NA,NA,NA,7.01153248113728e-06,NA,0,0
"18",60.1,NA,3.91538323855697e-06,0.000131742637706266,1,NA,NA,NA,2.04793797848089e-05,NA,NA,NA,NA,0.00463457103931216,NA,NA,NA,NA,6.90745564027655e-06,NA,0,0
"19",61.9,NA,3.68622406494134e-06,0.000116922564022028,1,NA,NA,NA,2.08934078570226e-05,NA,NA,NA,NA,0.00620002224650564,NA,NA,NA,NA,8.06905356704411e-06,NA,0,0
"20",63.6,NA,3.21463284215589e-06,0.000140686532524044,1,NA,NA,NA,2.31418672077547e-05,NA,NA,NA,NA,0.00533457331828271,5.33190126280708e-08,NA,NA,NA,8.44610133438883e-06,NA,0,0
"21",65.4,NA,3.1778532917229e-06,0.00010766844810062,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4193423547067e-06,NA,NA,0
"22",67.2,NA,1.6804686805352e-06,0.000133842847633876,1,NA,NA,NA,1.9595615939805e-05,NA,NA,NA,NA,0.00447961909893934,NA,NA,NA,NA,8.03524142444607e-06,NA,0,0
"23",68.9,NA,3.54974940126065e-06,0.000149374519523733,1,NA,NA,NA,2.05473817769185e-05,NA,NA,NA,NA,0.00447683308533679,3.52521374132989e-08,NA,NA,NA,5.92539450642683e-06,NA,0,0
"24",70.7,NA,4.63870776481736e-06,NA,1,NA,NA,NA,2.29412986733199e-05,NA,NA,NA,NA,0.00541837886889676,NA,NA,NA,NA,7.73783213072882e-06,NA,0,0
"25",72.5,NA,3.24298124368152e-06,0.000145562322726499,1,NA,NA,NA,2.82512304130771e-05,NA,NA,NA,NA,0.00601628121759513,4.97183137768377e-08,NA,NA,NA,7.63204156706425e-06,NA,0,0
"26",74.2,NA,2.96206350556088e-06,0.000128860598094143,1,NA,NA,NA,2.30266677368927e-05,NA,NA,NA,NA,0.00486187164135098,NA,NA,NA,NA,7.76662611891971e-06,NA,0,0
"27",76,NA,4.15923961943721e-06,0.000137683989439171,1,NA,NA,NA,2.46033583919064e-05,NA,NA,NA,NA,0.00531092224694315,NA,NA,NA,3.37211539806627e-07,7.0950453073694e-06,NA,0,NA
"28",77.8,NA,2.47308799759586e-06,0.000149380590511119,1,NA,NA,NA,2.18704602619071e-05,NA,NA,NA,NA,0.00535698108683934,NA,NA,NA,NA,7.83223882896944e-06,NA,0,NA
"29",79.5,NA,3.41666012092566e-06,0.000153397247739641,1,NA,NA,NA,2.24585295820343e-05,NA,NA,NA,NA,0.00492960243058267,NA,NA,NA,NA,6.87652131005326e-06,NA,0,0
"30",81.3,NA,2.8380759969881e-06,0.000122561280118813,1,NA,NA,NA,3.02606490507436e-05,NA,NA,NA,NA,0.00506410218445832,NA,NA,NA,NA,7.42623115255077e-06,NA,0,0
"31",83.1,NA,4.12288103650423e-06,0.00016033510089545,1,NA,NA,NA,2.49240753126153e-05,NA,NA,3.70301403547634e-06,NA,0.00488560616031189,3.67594701833649e-08,NA,NA,NA,7.18753272502282e-06,NA,0,0
