"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"17",30.1,7320,6678.2,42105,4063799.6,0,2581.8,6367.3,105437.9,13898.4,676.5,1142.8,1042.6,2042694.4,62.5,50,882,260,35087.5,100,0,0
"18",31.8,6598,6417.4,38596.3,4517796.8,0,2331,4993.4,105437.9,13276.8,681.4,1483.6,1082.4,2345657.6,75,20,962.2,280,42105,140,20,0
"19",33.6,7159.6,6116.6,42105,5277756.9,8771.9,2256,5515,98385.4,13918.4,751.5,1443.6,1203,2200703.2,37.5,200.3,741.6,230,38596.3,166.7,20,0
"20",35.4,7199.4,5655.4,42105,6452872.8,0,2732.3,4953.4,101894.1,14098.8,841.8,1579.3,1253.3,3067728.6,112.5,100,761.6,350,56175.1,80,0,0
"21",37.1,6698.2,3489.2,38596.3,5710526,0,1779.5,4938.3,98385.4,13216.6,862,1283,1543.8,2157892.3,137.5,75,781.8,370,35087.5,225.3,0,0
"22",38.9,6698.2,2827.4,42140.1,3785871.5,0,1779.5,6467.5,98385.4,12634.6,902.3,1022,1122.6,1886433.6,112.5,275.3,977.3,250,28070,75,0,0
"23",40.7,6176.8,2747.2,42105,3374189.7,0,3609.6,5514.5,114209.8,12815.4,701.3,962.2,1443.6,2023214.8,125,140,841.8,220,31578.8,80,0,0
"24",42.4,7119.4,2245.8,45613.8,4243272.2,0,2531.8,5765.5,94911.7,13096.2,851.8,1223,922.2,1577943.8,62.5,100,982.4,160,31578.8,140,0,0
"25",44.2,7019.4,1864.6,42105,4179904.3,0,1880,5665.5,98420.4,12213.8,701.4,1203,1082.4,2104550.4,50,220.2,801.8,300,28070,200.3,0,0
"26",46,7360.2,1724.4,42105,3743661.2,0,2130.5,5514.8,98385.4,12995.8,1203,30618.3,982.4,1875788.8,125,60,480.6,260,24561.3,150,0,0
"27",47.7,7059.4,1925,42105,4172886.6,0,1754.5,5414.8,91367.9,13818.4,601,1152.8,1363.4,1995418.4,96.9,100,721.4,137.5,28070,100,0,0
"28",49.5,6878.8,1664.2,38596.3,3901976.1,4385.9,2155.5,5214,98385.4,11892.8,641.4,922.2,1082.6,1909548.8,100,100,821.8,290,31578.8,200.3,0,0
"29",51.3,6698.2,1543.8,42105,4352324.2,5847.9,2306,4692.6,109867.7,12434.4,922,982.4,1042.2,2095564.8,50,40,741.6,260,35087.5,225.3,0,0
"30",53,6718.4,1924.8,45648.8,4623234.8,0,2255.8,4331.4,94876.6,13737.8,726.8,942.2,1102.4,2509644,137.5,100,901.8,360,28070,150,0,0
"31",54.8,6417.6,1524,48245.3,4577515.8,5847.9,2431.3,5389.5,91367.9,13657.6,1152.5,1042.4,1142.8,1840294.4,187.5,150,982.4,287.5,35087.5,200.3,0,0
"32",56.6,7139.6,1122.8,38596.3,4457867.3,0,1578.8,4953.6,94876.6,12554.6,781.8,1042.4,861.6,2004678.4,62.5,80,561,270,31578.8,300.3,0,0
"33",58.3,7179.8,1463.6,42140.1,4204640.7,4385.9,2205.8,4687.8,91367.9,13437.2,641.4,941.8,922.2,1926956.8,62.5,225.3,681.2,160,28070,80,0,0
"34",60.1,6297.2,1383.4,42105,4267903.6,5847.9,1854.8,5615.3,94876.6,12855.6,561,1127.8,1122.6,1760400,50,25,741.4,260,28070,100,0,0
"35",61.9,5735.4,1303,38596.3,4183448,0,2356.3,5314.3,94876.6,12253.6,826.5,1027,1102.4,2302829.4,50,100,826.8,180,31578.8,75,0,0
"36",63.6,6698.2,1142.6,42105,3996958,0,1604.3,5053.8,98385.4,11311.2,877,1022.4,1303,1896089.6,162.5,200.3,1002.4,300,31578.8,140.2,0,0
"37",65.4,7179.6,1243,38631.3,4549270.5,0,1880,6317.3,162630.6,12213.8,500.8,1123,1323.2,1287034.6,37.5,75,1002.2,310,31578.8,220.2,66.7,0
"38",67.2,6959,781.8,42105,4201026.8,0,2030.3,6442.5,91367.9,11030.4,681.6,1182.8,1082.6,1675705.7,25,225.3,761.6,200,31578.8,220.2,0,0
"39",68.9,6798.6,1283,45613.8,4253798.6,4385.9,2105.3,5113.6,94876.6,12695,942,977.3,942,1695517.8,125,50,761.6,250,24561.3,180,0,0
"40",70.7,6156.6,1443.4,48289.2,3810537.8,3508.8,1503.5,4963.5,94876.6,13176.4,761.6,1122.6,962,1836482.3,62.5,60,621.2,120,28070,140,0,0
"41",72.5,6136.8,1122.6,42105,3863274.5,0,1443.4,4111,109867.7,13256.6,701.6,1403.3,1082.6,2065165.9,150,250.3,761.8,225,28070,160,0,0
"42",74.2,6577.8,1042.6,38596.3,3796432.7,3508.8,1884.8,4913.4,94876.6,12915.8,852,1082.6,962.2,1643635.1,87.5,150,641.2,240,28070,133.3,0,0
"43",76,6437.6,1262.8,38596.3,3553522.5,0,2180.5,4993.4,94876.6,12976,821.8,952.3,902,1679987.2,87.5,125.3,641.2,475,24561.3,120,0,25
"44",77.8,6397.4,922,42105,3764678.9,0,2055.3,5013.5,91367.9,11972.8,927,1343.4,1002.4,1794199.7,25,100,681.4,310,28070,200.2,0,40
