Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
91,987;668,0;668,0;478796,0;12491,0;74895,0;1274,3;795520,0;33434,5;4146,5;1498,0;449,0;699,0;299,0;349,0;24236,0;0,0;249,5;24585,0;49,5;3496,5;149,5;49,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0
93,381;133,3;66,7;464980,0;12391,0;66490,0;1375,0;773336,0;37134,0;3696,5;1948,0;849,0;499,0;149,0;349,0;26435,5;49,5;0,0;20121,5;99,5;2148,0;0,0;0,0;0,0;99,0;0,0;0,0;0,0;0,0;0,0
94,775;267,3;668,0;476880,0;10342,5;72493,0;972,5;781840,0;37784,5;4196,5;1898,0;699,0;899,0;399,0;399,0;26135,5;0,0;49,5;24416,5;0,0;2297,5;49,5;49,5;149,0;0,0;49,5;0,0;0,0;0,0;49,5
96,168;601,3;267,3;462860,0;12691,0;71193,0;1576,5;780920,0;34734,5;4796,0;2447,5;998,5;599,0;149,0;149,0;26885,5;49,5;149,0;21721,5;0,0;1948,0;0,0;49,5;0,0;49,5;99,5;0,0;0,0;0,0;0,0
97,562;333,7;601,3;463668,0;12191,5;67741,0;1643,5;780584,0;35834,5;4046,5;1598,5;599,0;549,0;99,0;549,0;27735,0;49,5;249,0;22732,2;149,5;2647,5;0,0;0,0;49,5;0,0;149,0;0,0;0,0;0,0;0,0
98,956;66,7;334,0;484548,0;13940,5;72643,0;1240,8;779984,0;34884,5;4845,5;1698,0;249,0;599,0;49,5;299,0;27735,5;299,0;99,5;24416,3;0,0;2198,0;0,0;0,0;0,0;49,5;49,5;0,0;0,0;0,0;49,5
100,349;400,7;200,3;471436,0;13240,5;72194,0;1106,7;781376,0;34234,5;4496,0;1548,0;299,0;749,0;99,0;349,0;26136,0;0,0;99,5;23827,0;0,0;1848,0;0,0;0,0;0,0;0,0;99,5;0,0;0,0;0,0;99,0
101,743;200,3;467,7;473152,0;11891,0;69642,0;1173,8;780512,0;34234,5;4296,0;2048,0;449,0;499,0;249,0;249,5;25086,0;0,0;199,5;23405,8;0,0;2897,0;49,5;0,0;0,0;49,5;49,5;0,0;0,0;0,0;0,0
103,137;334,0;400,7;481724,0;12641,0;66840,0;1207,3;787584,0;37084,0;4196,5;1598,5;649,0;849,0;249,0;249,5;26685,5;99,0;299,0;24163,8;0,0;2797,5;49,5;0,0;0,0;0,0;99,0;0,0;0,0;0,0;49,5
104,531;200,0;467,3;479304,0;11591,5;70592,0;1207,3;773696,0;33684,5;4346,0;1498,5;299,0;549,0;199,0;249,0;24336,0;0,0;99,0;23153,2;0,0;2447,5;0,0;0,0;0,0;0,0;0,0;0,0;49,5;0,0;0,0
105,924;267,0;1403,3;5812690,5;90665,5;74745,0;1666549,4;733904,0;37934,0;4846,0;2497,5;749,0;1298,5;349,0;2048,0;26086,5;249,0;499,0;1287568,0;0,0;2997,0;199,0;99,5;0,0;49,5;10592,0;49,5;0,0;0,0;49,5
107,318;601,3;2606,7;14279215,0;180843,9;73244,0;3432501,3;714048,0;42134,0;5245,5;1748,0;349,0;1748,0;499,0;1298,5;24336,5;49,5;699,0;1776816,0;0,0;2997,5;199,5;49,5;0,0;149,0;17239,0;0,0;0,0;0,0;49,5
108,712;734,7;2272,7;14653231,0;170488,8;72494,0;3461941,3;733384,0;37134,0;5345,5;2147,5;1049,0;899,0;349,0;1048,5;26585,5;99,5;649,0;1967616,0;0,0;1948,0;49,5;149,0;49,5;49,5;19887,5;0,0;0,0;0,0;0,0
110,105;467,7;2005,0;15643362,0;174796,0;72193,0;3821218,3;776648,0;38134,5;4696,0;2647,5;449,0;1148,5;199,5;799,0;23836,5;99,0;998,5;1984256,0;99,0;2797,0;199,5;149,0;49,5;0,0;29784,5;0,0;0,0;0,0;49,5
111,499;601,3;1938,7;15964019,0;203374,6;67940,0;3974710,0;765192,0;38734,0;4896,0;1698,0;399,0;1248,5;0,0;749,0;27635,5;0,0;399,0;1893184,0;99,5;2497,5;199,0;149,0;0,0;49,5;26685,0;0,0;0,0;0,0;99,5
112,893;801,7;1804,7;15933458,0;176653,7;72744,0;3568938,8;721480,0;45734,5;4996,0;2148,0;749,0;998,5;399,0;999,0;29485,0;0,0;299,0;1894400,0;0,0;2198,0;149,0;149,0;0,0;149,5;22287,0;0,0;0,0;0,0;199,0
114,287;1403,3;2339,7;16008352,0;183686,8;72243,0;3548492,0;725720,0;56287,0;4995,5;1848,0;399,0;1248,5;349,0;1099,0;28185,5;149,5;349,0;1849765,4;49,5;3247,0;149,5;99,5;0,0;99,5;23836,5;0,0;0,0;0,0;99,0
115,680;1336,3;1871,3;15771790,0;187045,1;74195,0;3593184,0;716272,0;58988,0;6045,0;1798,0;799,0;1448,0;449,0;1298,5;25336,0;0,0;649,0;1863552,0;49,5;2247,5;99,5;49,5;49,5;0,0;24685,5;0,0;0,0;0,0;149,0
117,074;734,7;2874,3;16030014,0;176580,6;65239,5;3590741,3;721552,0;53236,5;4946,0;1198,5;399,0;949,0;249,5;549,0;27086,0;99,5;899,0;1812746,6;99,0;2048,0;99,0;199,5;0,0;0,0;34984,0;0,0;0,0;0,0;0,0
118,468;1403,7;1537,0;15345369,0;184328,6;73094,0;3560576,0;732368,0;48185,0;4796,0;2647,5;649,0;1298,5;549,0;1298,5;28285,5;99,0;699,0;2040832,0;49,5;3347,0;99,0;99,5;0,0;149,5;53285,5;0,0;0,0;0,0;49,5
119,862;1336,7;2205,7;15582150,0;193714,6;69492,0;3680288,0;713248,0;42534,0;5145,5;2148,0;349,0;1199,0;599,0;649,0;29685,5;49,5;449,0;2143904,0;0,0;2347,5;149,5;199,5;149,5;149,0;65290,0;0,0;0,0;0,0;49,5
121,255;801,7;2005,0;15063003,0;193188,7;65689,5;3639232,0;741736,0;42034,5;4996,0;1548,5;649,0;1198,5;349,0;1149,0;29435,5;0,0;799,0;2159658,8;199,0;3397,0;49,5;49,5;0,0;149,0;63139,0;0,0;0,0;0,0;99,5
122,649;400,7;1938,0;15027474,0;197633,9;69292,0;3638304,0;710224,0;46035,0;4946,0;1498,5;549,0;1049,0;399,0;1148,5;27885,5;0,0;499,0;2151888,0;49,5;2497,5;299,0;399,0;49,5;0,0;74595,0;0,0;0,0;0,0;99,5
124,043;1269,7;1671,0;14668076,0;196091,1;72844,0;3667424,0;724712,0;43985,0;4995,5;2248,0;549,0;1298,5;299,0;1049,0;28235,5;0,0;349,0;2255573,3;99,5;2647,5;199,0;99,0;49,5;0,0;75446,0;0,0;0,0;0,0;199,0
125,436;935,3;1336,3;14909074,0;202200,5;75045,0;3696064,0;717088,0;44684,0;4945,5;1548,0;399,0;1098,5;149,5;1348,5;29235,0;0,0;499,0;2222837,3;0,0;3147,5;49,5;99,0;0,0;199,5;73144,0;99,5;0,0;0,0;199,0
