"","","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1","mean","Bc_06_02_04_G_Spot1.csv","NaN","3.15465646057183e-06","0.000244164331961216","1","NaN","NaN","NaN","4.43667269081499e-05","NaN","NaN","NaN","1.61381563174092e-07","0.00537981597112872","4.02867993638901e-08","8.78220084030268e-07","NaN","NaN","1.07400735058282e-05","8.74325811356903e-08","NaN","0"
"2","mean","Bc_06_02_04_G_Spot2.csv","NaN","3.24100706495016e-06","0.000241757274909863","1","NaN","NaN","NaN","4.77352668338499e-05","NaN","NaN","2.86157625155336e-06","2.19925186945484e-07","0.00580268059776907","4.2808041259674e-08","NaN","NaN","2.53990261320512e-07","1.30336868923606e-05","9.69481251444827e-08","0","0"
"3","mean","Bc_06_02_04_G_Spot3.csv","NaN","3.69814084521396e-06","NaN","1","8.17942132610323e-05","NaN","8.87658537386347e-06","1.1685057958727e-05","NaN","NaN","2.76275142445024e-06","2.53576154263067e-07","0.0060367608459024","3.86141604816408e-08","1.29917197217129e-06","NaN","NaN","1.3501423526248e-05","NaN","NaN","2.15926603742389e-10"
"4","sd","Bc_06_02_04_G_Spot1.csv",NA,"9.29581226959079e-07","4.09470439509328e-05","0",NA,NA,NA,"6.40570781929779e-06",NA,NA,NA,"4.09274906834716e-08","0.000466334354836339","9.34157345497242e-09","2.20766139506074e-07",NA,NA,"1.43853841947318e-06",NA,NA,"0"
"5","sd","Bc_06_02_04_G_Spot2.csv",NA,"6.89773883366961e-07","3.28495878202743e-05","0",NA,NA,NA,"4.29680713247215e-06",NA,NA,"8.27389691901506e-07","5.38102845535956e-08","0.00050683495732022","9.89464330871001e-09",NA,NA,NA,"1.31469140379331e-06",NA,"0","0"
"6","sd","Bc_06_02_04_G_Spot3.csv",NA,"8.20960441841908e-07",NA,"0","1.21853417245113e-05",NA,NA,"2.47346350320376e-06",NA,NA,"5.27964062999793e-07","6.00980439296123e-08","0.000468382766156743","9.96393063106883e-09","5.8631506630733e-07",NA,NA,"1.10814877744331e-06",NA,NA,"1.20222844930379e-09"
"7","total mean","-","NaN","3.36229436904012e-06","0.00024296080343554","1","8.17942132610323e-05","NaN","8.87658537386347e-06","3.47030579992303e-05","NaN","NaN","2.81922275422345e-06","2.13751731591842e-07","0.00573906847022866","4.02895290466479e-08","1.04660083928668e-06","NaN","2.53990261320512e-07","1.2418445812665e-05","9.21903531400865e-08","0","7.19755345807962e-11"
"8","mean sd","-",NA,"8.46091785724282e-07","3.68342500685803e-05","0","1.21853417245113e-05",NA,NA,"1.69406856063677e-05",NA,NA,"6.61810083361844e-07","6.26374026112514e-08","0.00054897150969886","9.51811415864282e-09","4.04314643637596e-07",NA,NA,"1.76686298595509e-06","6.72850569529611e-09","0","6.9410691883297e-10"
