"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,NA,NA,0.000147205210977069,1,NA,NA,NA,4.05964736697092e-05,NA,NA,1.69570088335085e-06,1.54212318234756e-07,0.00415555775423077,1.82491384028937e-08,NA,NA,NA,7.38376342991302e-06,NA,0,0
"2",30.1,NA,NA,0.000156476385063641,1,NA,NA,NA,4.63328868869733e-05,NA,NA,1.19467236610779e-06,1.81216175156421e-07,0.00483894954287901,3.87431840931057e-08,NA,NA,NA,7.75669908816525e-06,NA,0,0
"3",31.8,NA,2.90165812760854e-06,0.000155147745194367,1,NA,NA,NA,4.27750350751208e-05,NA,NA,2.11935679812864e-06,1.76758540473514e-07,0.00514414613953155,1.19166803255172e-08,NA,NA,NA,9.30056942485628e-06,NA,0,0
"4",33.6,NA,2.5312765264585e-06,0.000128853514808994,1,NA,NA,NA,3.10627585720365e-05,NA,NA,NA,1.32106186013779e-07,0.00426679356476335,NA,NA,NA,NA,7.71640244698215e-06,NA,0,0
"5",35.4,NA,2.80037637162939e-06,0.000108069551929918,1,NA,NA,NA,2.98284919676224e-05,NA,NA,1.87930452143632e-06,1.23772370366596e-07,0.00441262578533172,7.8662328781747e-09,NA,NA,NA,9.81943040827209e-06,NA,0,0
"6",37.1,NA,2.86749440467314e-06,0.000109699652918765,1,NA,NA,NA,2.98712363526785e-05,NA,NA,NA,1.44848846457828e-07,0.00343558595839909,2.26719837740227e-08,NA,NA,NA,7.25567304673634e-06,NA,0,0
"7",38.9,NA,2.00878582246344e-06,0.000135143428253833,1,NA,NA,NA,3.46236417117874e-05,NA,NA,NA,1.75861006028545e-07,0.0035397509041455,1.46230449640793e-08,NA,NA,NA,6.77496488486374e-06,NA,0,0
"8",40.7,NA,1.89346477219814e-06,0.000134966490997627,1,NA,NA,NA,4.01049295033177e-05,NA,NA,NA,NA,0.00349821955721032,2.12073756052042e-08,NA,NA,NA,NA,NA,0,0
"9",42.4,NA,1.40130460781987e-06,0.000141648379251256,1,NA,NA,NA,3.8434314006464e-05,NA,5.25259200784381e-07,1.48494709946537e-06,1.19028398451042e-07,0.00330736041203121,1.62324548803522e-08,NA,NA,NA,NA,NA,0,0
"10",44.2,NA,2.11166461174171e-06,0.000159651769133979,1,NA,NA,NA,4.67656395792205e-05,NA,NA,1.98728155953308e-06,NA,0.00399169153822853,1.09886350888912e-08,NA,NA,NA,6.6573321503236e-06,NA,0,0
"11",46,NA,1.51808986090542e-06,0.00017082066705012,1,NA,NA,NA,4.64046707513849e-05,NA,NA,NA,NA,0.00441829673879645,1.39121324369964e-08,NA,NA,NA,8.48369251865721e-06,NA,0,0
"12",47.7,NA,1.4170466675076e-06,0.00018767695309379,1,NA,NA,NA,5.25157419968005e-05,NA,NA,NA,NA,0.00431307713925615,3.94628071759917e-08,NA,NA,NA,7.13670270973738e-06,NA,0,0
"13",49.5,NA,2.96239933935591e-06,NA,1,NA,NA,NA,5.11709015687085e-05,NA,NA,NA,1.69347033309038e-07,0.00366995980032383,NA,NA,NA,NA,5.61159485319319e-06,NA,0,0
"14",51.3,NA,2.06413740327829e-06,NA,1,NA,NA,NA,NA,NA,NA,NA,1.95291939978736e-07,0.00446854872355473,NA,NA,NA,NA,8.3125960881229e-06,NA,0,0
"15",53,NA,1.48822544548633e-06,0.000172433424899217,1,NA,NA,NA,4.61064780407734e-05,NA,NA,NA,1.7445901471946e-07,0.00388460780295301,1.97720113909802e-08,NA,NA,NA,7.96287314719876e-06,NA,0,0
"16",54.8,NA,1.74380406936345e-06,0.000157595166409648,1,NA,NA,NA,4.68653053324962e-05,NA,NA,NA,2.07348216035394e-07,0.00470078842169657,4.70690342467237e-08,NA,NA,NA,8.89827897083256e-06,NA,0,0
"17",56.6,NA,2.05699885108607e-06,0.00014949347980442,1,NA,NA,NA,4.31100114770197e-05,NA,NA,NA,2.22759744702854e-07,0.00491759211567615,2.08486065342773e-08,NA,NA,NA,8.98969905586865e-06,NA,0,0
"18",58.3,NA,1.7505119779165e-06,0.000137608744150738,1,NA,NA,NA,3.49322569707325e-05,NA,NA,NA,1.39568692782663e-07,0.00394961705624848,2.43458915529181e-08,NA,NA,NA,6.96272428726605e-06,NA,0,0
"19",60.1,NA,2.06109866892237e-06,0.000159037116158304,1,NA,NA,NA,4.45017463380857e-05,NA,NA,2.11680725952371e-06,2.37170882222343e-07,0.0049015368706794,1.37581271940328e-08,NA,NA,NA,8.9738518068765e-06,NA,0,0
"20",61.9,NA,2.64992162577312e-06,0.000149015151798866,1,NA,NA,NA,4.10755951022907e-05,NA,NA,NA,2.5643604682173e-07,NA,NA,NA,NA,NA,8.43648952553279e-06,NA,0,0
"21",63.6,NA,1.81565494361777e-06,0.000137465464444109,1,NA,NA,NA,3.78919572264431e-05,NA,NA,NA,2.06324208272874e-07,0.00595526686521176,2.03358820951534e-08,NA,NA,NA,7.29809499225097e-06,NA,0,0
"22",65.4,NA,1.61942882891783e-06,0.000132063538699003,1,NA,NA,NA,3.25361348373042e-05,NA,NA,9.98422473182696e-07,2.00275506728973e-07,0.00370318423157516,7.64509405082438e-09,NA,NA,NA,6.2715651835376e-06,NA,0,0
"23",67.2,NA,1.43199938139712e-06,0.000128180653191133,1,NA,NA,NA,3.48058763685113e-05,NA,NA,NA,2.42556394219025e-07,NA,1.04332308125267e-08,NA,NA,NA,6.36223976378175e-06,NA,0,0
"24",68.9,NA,2.61985970217536e-06,0.000143239325836409,1,NA,NA,NA,4.00721374944905e-05,NA,NA,NA,1.83483998348758e-07,0.00451397120232205,NA,NA,NA,NA,8.60444664320364e-06,NA,0,0
"25",70.7,NA,2.25025597887833e-06,0.000147636209991713,1,NA,NA,NA,4.00827227803e-05,NA,NA,NA,1.4937050486078e-07,0.00457852471536887,1.20168107805895e-08,NA,NA,NA,7.84316801758636e-06,NA,NA,0
"26",72.5,NA,2.30382748363826e-06,0.000129124847528727,1,NA,NA,NA,3.73121942265612e-05,NA,NA,NA,1.49110845858546e-07,0.00435726595932127,NA,NA,NA,NA,6.82037490648965e-06,NA,3.07359406395828e-09,0
"27",74.2,NA,2.3226726829079e-06,0.000122813982416885,1,NA,NA,NA,3.49295252647153e-05,NA,NA,9.9822107768431e-07,1.86483683095578e-07,0.00398744558815635,2.58403237398648e-08,NA,NA,NA,7.8414443651374e-06,NA,0,0
"28",76,NA,1.9827279821147e-06,0.000124464683387809,1,NA,NA,NA,3.4278622162105e-05,NA,NA,1.82905747154483e-06,2.24435924189529e-07,0.00457924334192348,NA,NA,NA,NA,7.48473941921392e-06,NA,0,0
"29",77.8,NA,1.93572750250227e-06,0.000125713114557505,1,NA,NA,NA,3.68528957827663e-05,NA,NA,NA,2.07219489357987e-07,0.00537962214754923,8.65812212303172e-09,NA,NA,NA,8.95512821538239e-06,NA,0,0
"30",79.5,NA,1.21854314468659e-06,0.000114288359433518,1,NA,NA,NA,3.05639351387681e-05,NA,NA,NA,1.74352133042895e-07,0.00456131512271359,NA,NA,NA,NA,6.46648168258649e-06,NA,2.55639412508042e-09,NA
"31",81.3,NA,1.43922554866614e-06,0.000138193432527191,1,NA,NA,NA,3.69730138630193e-05,NA,NA,NA,1.90646435424441e-07,0.00472761205666726,2.505607163043e-08,NA,NA,NA,8.30625073365439e-06,NA,0,0
"32",83.1,NA,1.86025025730901e-06,0.000119960431151451,1,NA,NA,NA,3.20948586547605e-05,NA,NA,1.50357766085967e-06,1.36135013477331e-07,0.00392373647102186,2.3746932127789e-08,NA,NA,NA,6.79142682923833e-06,NA,0,0
