Temps;Li7;B11;Mg25;Ca43;Ti49;V51;Cr53;Mn55;Ni60;Cu65;Zn66;Rb85;Sr86;Y89;Mo97;Cd111;Sn118;Ba138;Pb208;Th232;U238
1.8;9406;561;0;0;0;3058.3;7219.8;4485.2;18050;1453.8;1529;882;23184.2;12.5;75;1764.6;310;0;175.3;0;0
3.5;9085;601;0;3588.1;3588.1;2957.5;8623.8;8970.3;15322.4;1202.8;1022.4;641.2;23946.4;37.5;100;1363.6;170;0;300.4;0;0
5.3;8463.2;521;0;0;0;2707;8272.8;4485.2;16926.8;1042.4;1423.4;882;24548.2;25;300.5;1624;230;4485.2;125;0;0
7.1;8042.2;450.8;8970.3;5980.2;0;3058.3;7495.3;7176.3;16044.6;1228;1463.6;641.4;24889;25;75;1082.6;390;0;440.6;0;0
8.8;8924.4;460.8;8970.3;0;5980.2;2957.8;7871.5;8970.3;14961.4;1503.8;1463.6;881.8;24548.2;50;250.5;761.6;250;0;280.4;0;0
10.6;8242.6;541;0;0;5980.2;3409;7069.3;8970.3;15803.8;1102.4;1854.8;601.2;22702.8;28.6;175.3;1182.6;325;0;220.2;66.7;0
12.4;7540.6;520.8;0;5980.2;0;2832.5;7696;4485.2;14299.4;781.6;1162.8;1042.4;22161.6;25;300.2;761.6;280;0;200;0;0
14.1;7500.6;501;0;0;0;3534.3;7520.5;5980.2;15222;952.3;1142.6;581.2;22442.4;62.5;66.7;1262.8;70;5980.2;175.3;0;0
15.9;7560.6;801.6;3588.1;7176.3;4485.2;3835.3;7821.5;5980.2;15944;1062.4;1483.6;621.2;22302;25;160;1082.6;210;0;100;0;0
17.7;6477.4;721.4;0;0;0;2732.3;6678.2;4485.2;14881;922.2;1553.8;741.6;22863.4;12.5;225.3;1162.8;200;4485.2;175;0;0
19.4;19935.4;100906.3;5980.2;5980.2;0;63176.3;41515.8;13455.5;74281.8;42499.4;32134.5;177944.5;45045.6;65239.1;16846.6;41791.5;79528.4;10764.4;334553.6;132470;98159
21.2;54512;133177.4;NA;28705;7176.3;233802;35599;43093.4;93661.6;108081.2;60548.8;259023.2;84596;174210.3;20296.2;34636.6;122130.8;62926.7;255247.5;183124.8;361648.8
23;69474;164919.2;30440.6;297481;24352.5;319248.8;30765.6;1404043.4;113376;86261;75129.6;317104;104311.2;241777.3;27336;40693.6;128291.7;NA;459299.6;262311.2;322178.4
24.7;80544.8;109465;97263.4;990907.5;17337.5;312551.2;31427.4;851826.1;96930.4;95085.2;48635.8;286537.6;113737.6;282141.5;45988;37324;118107.2;438014.6;311407.2;305189.6;343456
26.5;88927.6;112574;101786.4;1262659.9;22679.7;368748;34776.8;1073384.3;112353.6;88266.8;59445.6;325870.4;123665.2;321755.5;35980.2;39430;130128.8;472971.3;323643.2;339526.4;380742.4
28.3;93320;458997.2;100444.5;1354067.5;22388.7;378876;38407;635695.4;102586;84635.6;66926.6;322057.6;127676;338233.5;42137.6;28198.4;125624;488395.8;317445.6;346828.8;391392
30.1;99116.8;73083.8;93662.6;1356022.5;17984.4;379198.4;38146.4;605857.8;98374.4;79120.4;44263.6;325569.6;130905.2;342339.5;33493.2;26273.2;131129.6;472449.5;287961.6;355872;386979.2
31.8;101463.2;96494;87029.6;1279030.2;20853.8;359483.2;37765.4;540147.1;92378;84917.2;47672.6;316079.2;126593.6;342364.5;32711.2;28238.8;122471.2;470391.3;290389.6;344601.6;355211.2
33.6;92939.2;46008.4;86038.6;1408449.1;18679.7;375467.2;37805.4;606716.9;95747.6;78859.8;35920.2;332849.6;127896.4;353811.5;32671;31567.8;121180;494302.5;279839.2;357516.8;354086.4
35.4;94383.6;44504;81410.4;1342777.4;22084;386339.2;38306.8;513691.4;106898;75791.2;37865.6;310143.2;124748.4;357866.5;31748.4;25932;124924;485282.7;285115.2;351539.2;356252.8
37.1;95526.4;36762.6;88101.7;1326416.4;21110.6;376948.8;37224;518512.3;91655.6;73124;36722.4;309102.4;128518.8;356966;34095.2;26613.8;126605.6;472667.3;271356.8;351720;367684.8
38.9;92418;37464.4;84515.6;1371339.9;21093.8;377251.2;36000.6;493418.4;93079.6;81708.2;33473.4;310805.6;126492.4;350197;31808.4;24427.8;118697.6;447609.4;250156.8;342534.4;336699.2
40.7;90873.2;41455.6;79992;1232342.5;21699.2;350680;34736.8;466446.4;89008;74006;30464.8;300015.2;120295.6;330351.5;30043.6;21921;110209.2;421207.9;263113.6;337260.8;326870.4
42.4;87263.6;32651;81813.6;1217652.4;14203.8;336697.6;33613.6;469931.1;85638.8;68531.4;32791.2;284212;115763.6;334256;29261.4;21479.6;108657.6;430693.8;230142.4;323722.4;324805.6
