"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"31",91.9,NA,3192.58888888889,9469.76666666667,5122818.37777778,NA,NA,NA,69010.9777777778,NA,NA,NA,885.9,2769920.71111111,NA,NA,NA,NA,248968.222222222,NA,0,0
"32",93.7,NA,2430.78888888889,NA,4973206.87777778,NA,NA,NA,71723.7777777778,NA,NA,NA,1227.1,2711360.71111111,123.611111111111,NA,NA,150,232745.222222222,NA,0,0
"33",95.5,NA,2751.38888888889,8791.46666666667,5087443.47777778,NA,NA,727.111111111111,66270.9777777778,NA,NA,NA,1647.9,2733619.91111111,NA,NA,NA,NA,229951.222222222,NA,33.3,0
"34",97.2,NA,2430.58888888889,8791.46666666667,4935172.87777778,NA,NA,NA,69010.9777777778,NA,NA,NA,1427.5,2626509.51111111,98.6111111111111,NA,NA,NA,197370.122222222,NA,0,0
"35",99,NA,2109.78888888889,8791.46666666667,4578763.77777778,NA,NA,787.111111111111,63558.1777777778,NA,NA,NA,1447.7,2504570.31111111,102.211111111111,NA,NA,NA,183724.722222222,NA,0,0
"36",100.8,NA,2109.78888888889,NA,4486256.87777778,NA,NA,NA,63558.1777777778,NA,NA,NA,1146.9,2380531.91111111,NA,NA,NA,NA,164680.822222222,NA,0,0
"37",102.5,NA,1909.38888888889,8791.46666666667,4276800.67777778,NA,NA,NA,66298.1777777778,NA,NA,NA,1026.5,2389965.51111111,NA,NA,NA,NA,151116.722222222,NA,0,0
"38",104.3,NA,1668.58888888889,NA,4442743.27777778,NA,NA,NA,63558.1777777778,NA,NA,NA,1066.5,2389312.71111111,NA,NA,NA,NA,148376.822222222,NA,40,0
"39",106.1,NA,1828.98888888889,NA,4578763.77777778,NA,NA,NA,66298.1777777778,NA,NA,NA,986.3,2357427.91111111,136.111111111111,NA,NA,NA,145691.122222222,NA,0,0
"40",107.8,NA,1447.78888888889,NA,4529770.57777778,NA,NA,NA,63558.1777777778,NA,NA,NA,1016.5,2321114.31111111,NA,NA,NA,NA,140211.222222222,NA,0,0
"41",109.6,NA,1427.78888888889,NA,4508040.57777778,NA,NA,NA,66298.1777777778,NA,NA,NA,1066.7,2183411.91111111,NA,NA,NA,NA,118454.422222222,NA,0,0
"42",111.4,NA,1568.18888888889,NA,4260442.37777778,NA,NA,807.511111111111,63558.1777777778,NA,NA,NA,846.1,2066323.91111111,NA,NA,NA,NA,102150.422222222,NA,0,0
"43",113.1,NA,1528.18888888889,NA,4257702.77777778,NA,NA,NA,63558.1777777778,NA,NA,NA,885.9,2061344.71111111,NA,NA,NA,NA,88505.0222222222,NA,0,0
"44",114.9,NA,1327.58888888889,6756.86666666667,4401888.77777778,NA,NA,NA,60872.4777777778,NA,NA,NA,865.9,2083917.51111111,NA,NA,NA,NA,72201.0222222222,NA,0,0
"45",116.7,NA,1909.38888888889,NA,4543361.77777778,NA,NA,NA,63558.1777777778,NA,NA,NA,1207.1,2017651.91111111,NA,NA,NA,NA,64062.5222222222,NA,0,0
"46",118.4,NA,1648.58888888889,NA,4415533.97777778,NA,NA,NA,60845.3777777778,NA,NA,NA,946.3,1939559.11111111,NA,NA,NA,NA,61349.7222222222,NA,0,0
"47",120.2,NA,1548.18888888889,NA,4363827.87777778,NA,NA,NA,60845.3777777778,NA,NA,NA,946.3,1869690.31111111,NA,NA,NA,NA,58609.8222222222,NA,0,0
"48",122,NA,1166.78888888889,9469.76666666667,4350209.27777778,NA,NA,NA,63558.1777777778,NA,NA,NA,1267.1,1787699.91111111,NA,NA,NA,NA,53184.2222222222,NA,0,0
"49",123.7,NA,1548.18888888889,NA,4453594.87777778,NA,NA,NA,66270.9777777778,NA,NA,NA,986.3,1677261.51111111,NA,NA,NA,NA,55897.0222222222,NA,0,0
"50",125.5,NA,1327.58888888889,NA,4230574.17777778,NA,NA,NA,63558.1777777778,NA,NA,NA,1146.7,1612211.91111111,148.611111111111,NA,NA,NA,55897.0222222222,NA,0,0
"51",127.3,NA,1166.98888888889,8791.46666666667,4271293.97777778,NA,NA,NA,60845.3777777778,NA,827.355555555555,NA,1046.7,1569043.91111111,98.6111111111111,NA,NA,NA,55897.0222222222,NA,25,0
"52",129,NA,1407.78888888889,6756.86666666667,4434604.67777778,NA,NA,NA,60872.4777777778,NA,NA,NA,1267.2,1614010.31111111,NA,209.522222222222,NA,NA,53184.2222222222,NA,0,0
"53",130.8,NA,1367.78888888889,NA,4235972.97777778,NA,NA,NA,60845.3777777778,NA,NA,NA,1046.3,1501517.51111111,NA,NA,NA,NA,61322.6222222222,NA,0,0
"54",132.6,NA,1568.18888888889,NA,4287625.07777778,NA,NA,NA,60872.4777777778,NA,NA,NA,865.9,1433683.91111111,NA,NA,NA,NA,61349.7222222222,NA,0,0
"55",134.3,NA,1187.18888888889,NA,4094499.67777778,NA,NA,787.111111111111,58132.5777777778,NA,NA,NA,845.9,1383744.71111111,NA,NA,NA,NA,61349.7222222222,NA,0,0
"56",136.1,NA,1247.38888888889,NA,4189773.37777778,NA,NA,NA,63585.2777777778,NA,NA,NA,825.9,1357895.11111111,NA,NA,NA,NA,58609.8222222222,NA,0,0
"57",137.9,NA,946.788888888889,NA,4034628.27777778,NA,NA,NA,63558.1777777778,NA,NA,NA,886.3,1386759.11111111,NA,NA,NA,NA,55897.0222222222,NA,0,0
"58",139.6,NA,1407.78888888889,NA,4168016.67777778,NA,NA,NA,63558.1777777778,NA,NA,NA,865.9,1435431.11111111,NA,NA,NA,NA,55924.1222222222,NA,0,0
"59",141.4,NA,1267.38888888889,NA,4293158.67777778,NA,NA,NA,60872.4777777778,NA,NA,NA,1227.1,1514893.51111111,NA,NA,NA,NA,55897.0222222222,NA,0,0
"60",143.2,NA,1387.78888888889,6756.86666666667,4336645.37777778,NA,NA,NA,60845.3777777778,NA,NA,NA,785.9,1542067.91111111,86.1111111111111,NA,NA,NA,50471.3222222222,NA,0,0
"61",144.9,NA,1688.58888888889,NA,4007391.57777778,NA,NA,NA,60845.3777777778,NA,NA,NA,1327.3,1417319.11111111,NA,NA,NA,NA,50471.3222222222,NA,0,0
"62",146.7,NA,1307.38888888889,6756.86666666667,3868739.37777778,NA,NA,NA,58132.5777777778,NA,NA,NA,585.1,1410957.51111111,NA,NA,NA,NA,53184.2222222222,NA,0,0
"63",148.5,NA,1969.38888888889,NA,4075401.97777778,NA,NA,NA,63558.1777777778,NA,NA,NA,885.9,1480051.91111111,NA,NA,NA,NA,53184.2222222222,NA,0,0
"64",150.2,NA,2069.58888888889,NA,4132560.57777778,NA,NA,NA,58132.5777777778,NA,NA,NA,1287.1,1506464.71111111,NA,NA,NA,NA,58636.9222222222,NA,0,0
"65",152,NA,1929.18888888889,NA,4105405.27777778,NA,NA,NA,60845.3777777778,NA,NA,NA,1146.9,1531341.51111111,NA,NA,NA,NA,58636.9222222222,NA,0,0
"66",153.8,NA,1989.58888888889,NA,4159797.07777778,NA,NA,727.111111111111,60845.3777777778,NA,NA,NA,946.3,1574003.91111111,NA,NA,NA,NA,64062.5222222222,NA,0,0
"67",155.6,NA,2029.78888888889,NA,4265840.97777778,NA,NA,NA,63558.1777777778,NA,NA,NA,1167.1,1682439.11111111,NA,NA,NA,142.5,64035.4222222222,NA,0,0
"68",157.3,NA,2510.58888888889,NA,4467293.97777778,NA,NA,NA,60845.3777777778,NA,NA,NA,1447.5,1682656.71111111,NA,NA,NA,NA,61349.7222222222,NA,0,0
"69",159.1,NA,1828.98888888889,NA,4393722.97777778,NA,NA,NA,60845.3777777778,NA,NA,NA,1106.5,1690445.51111111,NA,NA,NA,NA,64062.5222222222,NA,0,0
"70",160.9,NA,2089.58888888889,8791.46666666667,4254962.87777778,NA,NA,767.111111111111,63558.1777777778,NA,NA,NA,1116.5,1728813.51111111,NA,NA,NA,NA,58636.9222222222,NA,0,0
"71",162.6,NA,2310.18888888889,12182.5666666667,4385557.47777778,NA,NA,NA,63558.1777777778,NA,NA,NA,926.3,1793971.91111111,86.1111111111111,NA,NA,NA,64062.5222222222,NA,0,0
"72",164.4,NA,2189.98888888889,NA,4537935.97777778,NA,NA,NA,60872.4777777778,NA,NA,NA,1367.7,1800679.11111111,NA,NA,NA,NA,64062.5222222222,NA,0,0
"73",166.2,NA,1989.58888888889,NA,4347469.67777778,NA,NA,NA,60845.3777777778,NA,NA,NA,1367.5,1657024.71111111,NA,NA,NA,NA,55897.0222222222,NA,0,0
"74",167.9,NA,1889.18888888889,NA,4116256.37777778,NA,NA,NA,58132.5777777778,NA,NA,NA,765.7,1542586.31111111,NA,NA,NA,NA,50444.2222222222,NA,0,0
"75",169.7,NA,1267.58888888889,NA,4059124.57777778,NA,NA,NA,60845.3777777778,NA,NA,NA,504.9,1523181.51111111,NA,NA,NA,NA,44964.3222222222,NA,0,0
"76",171.5,NA,1427.78888888889,6756.86666666667,4007445.57777778,NA,NA,NA,60845.3777777778,NA,NA,NA,745.5,1476000.71111111,NA,NA,NA,NA,36825.9222222222,NA,0,25
"77",173.2,NA,1407.78888888889,NA,4018350.97777778,NA,NA,NA,55419.7777777778,NA,NA,NA,645.5,1526605.51111111,NA,NA,NA,NA,36825.9222222222,NA,0,0
"78",175,NA,1407.78888888889,NA,4050986.17777778,NA,NA,NA,60845.3777777778,NA,NA,NA,304.5,1556410.31111111,NA,NA,NA,NA,36798.8222222222,NA,0,0
"79",176.8,NA,1106.98888888889,6756.86666666667,4078222.77777778,NA,NA,NA,60845.3777777778,NA,NA,NA,384.7,1609075.91111111,NA,NA,NA,NA,42251.5222222222,NA,0,0
"80",178.5,NA,1086.78888888889,NA,4067317.17777778,NA,NA,NA,58132.5777777778,NA,NA,NA,504.9,1656429.51111111,NA,NA,NA,NA,36798.8222222222,NA,0,0
"81",180.3,NA,1106.78888888889,NA,3952972.57777778,NA,NA,NA,58132.5777777778,NA,NA,NA,605.1,1614458.31111111,NA,NA,NA,NA,31373.2222222222,NA,0,0
"82",182.1,NA,1106.78888888889,NA,3942175.37777778,NA,NA,NA,60872.4777777778,NA,NA,NA,524.9,1605479.11111111,123.611111111111,NA,NA,NA,28660.3222222222,NA,0,0
"83",183.8,NA,1006.58888888889,NA,3912253.07777778,NA,NA,NA,60845.3777777778,NA,NA,NA,505.1,1632179.91111111,NA,NA,NA,NA,23234.7222222222,NA,0,0
"84",185.6,NA,946.388888888889,NA,4007499.57777778,NA,NA,NA,60845.3777777778,NA,NA,NA,304.5,1668243.91111111,NA,NA,NA,NA,20521.9222222222,NA,20,0
"85",187.4,NA,1106.78888888889,NA,3901374.27777778,NA,NA,NA,58132.5777777778,NA,NA,NA,590.2,1649370.31111111,NA,NA,NA,NA,15096.3222222222,NA,0,0
"86",189.1,NA,886.188888888889,8791.46666666667,4173361.47777778,NA,NA,NA,58132.5777777778,NA,NA,NA,705.5,1642855.11111111,NA,NA,NA,NA,17809.1222222222,NA,0,0
"87",190.9,NA,1227.38888888889,NA,4089047.07777778,NA,NA,757.311111111111,60872.4777777778,NA,NA,NA,740.7,1621850.31111111,NA,NA,NA,NA,15096.3222222222,NA,0,0
"88",192.7,NA,645.588888888889,8791.46666666667,4010158.47777778,NA,NA,NA,58132.5777777778,NA,NA,NA,565.2,1661869.51111111,73.6111111111111,NA,NA,NA,12383.5222222222,NA,0,0
"89",194.4,NA,946.588888888889,NA,4113543.77777778,NA,NA,NA,58132.5777777778,NA,NA,NA,224.3,1623021.51111111,73.6111111111111,NA,NA,NA,12383.5222222222,NA,0,0
"90",196.2,NA,866.188888888889,NA,4192432.37777778,NA,NA,NA,58132.5777777778,NA,NA,NA,590,1640167.11111111,NA,NA,NA,NA,12383.5222222222,NA,0,0
"91",198,NA,1287.38888888889,NA,4176128.17777778,NA,NA,NA,60845.3777777778,NA,NA,NA,585.3,1652154.31111111,NA,NA,NA,NA,12383.5222222222,NA,0,0
"92",199.7,NA,866.388888888889,NA,4235972.97777778,NA,NA,NA,52706.9777777778,NA,NA,NA,790.7,1739450.31111111,73.6111111111111,NA,NA,NA,17809.1222222222,NA,0,0
"93",201.5,NA,986.388888888889,6756.86666666667,4271293.97777778,NA,NA,NA,58132.5777777778,NA,NA,NA,540.2,1753306.31111111,NA,NA,NA,NA,19165.5222222222,NA,0,0
"94",203.3,NA,831.088888888889,NA,4162536.77777778,NA,NA,NA,55419.7777777778,NA,NA,NA,444.7,1655072.71111111,NA,NA,NA,NA,17809.1222222222,NA,0,0
"95",205,NA,680.788888888889,NA,4110830.97777778,NA,NA,NA,58132.5777777778,NA,NA,NA,665.3,1605888.71111111,NA,NA,NA,NA,17809.1222222222,NA,0,0
"96",206.8,NA,886.388888888889,NA,4331165.57777778,NA,NA,NA,60845.3777777778,NA,NA,NA,404.9,1676589.51111111,93.6111111111111,NA,NA,NA,17809.1222222222,NA,0,0
"97",208.6,NA,1147.18888888889,NA,4287597.97777778,NA,NA,NA,58132.5777777778,NA,NA,NA,745.7,1642611.91111111,73.6111111111111,NA,NA,NA,25947.5222222222,NA,0,0
