Temps;Li7;B11;Mg25;Ca43;Ti49;V51;Cr53;Mn55;Ni60;Cu65;Zn66;Rb85;Sr86;Y89;Mo97;Cd111;Sn118;Ba138;Pb208;Th232;U238
1.8;8603.8;400.6;45648.8;13157.8;0;2185.8;5715.5;112525.6;14560.2;661.2;681.2;861.8;17869.6;62.5;33.3;962.2;220;3508.8;150;0;0
3.5;8583.6;360.6;45648.8;8771.9;0;2306;5414.5;119543.1;14259.4;821.6;741.6;876.8;17849.4;16.7;180.2;1062.6;220;8771.9;120;0;50
5.3;7500.6;461;38596.3;8771.9;5847.9;2632;5188.8;112490.5;13397;1162.6;1428.5;521;18311;12.5;75;1102.6;180;0;200;0;0
7.1;8543.4;260.4;42105;10526.3;0;3409;4612.4;108981.8;13156.6;801.8;942.4;460.8;16947;12.5;160;581;170;0;150;0;0
8.8;7941.8;380.6;42140.1;13157.8;0;2581.8;5690.3;108981.8;13838;661.2;681.2;520.8;18090.2;37.5;140;821.8;290;0;100;0;0
10.6;7199.8;400.8;49192.7;10526.3;4385.9;2506.5;5515;105437.9;13196.4;641.2;1182.8;721.4;17448.6;12.5;40;641.2;120;5847.9;80;0;0
12.4;7701.2;280.4;42105;10526.3;5847.9;2957.8;5339.5;108981.8;12815.2;661.2;942;621.2;17388.2;0;140.2;721.4;330;0;100;0;0
14.1;7500.8;220.2;45648.8;10526.3;0;2907.8;4913.2;101929.2;13517.2;741.4;1082.4;661.4;18631.8;12.5;300.5;721.4;150;8771.9;320.6;0;0
15.9;7139.6;240.2;42105;8771.9;0;2180.8;5615.5;105437.9;13898.4;601.2;1202.8;581.2;18070.2;75;200;741.6;130;0;180;0;0
17.7;7340.2;340.6;38631.3;8771.9;0;2932.5;5163.8;101894.1;12213.8;661.2;982.2;481;16586;25;225;982;170;4385.9;120;0;0
19.4;8021.8;180;45648.8;8771.9;0;2381.3;5941.3;118683.5;13978.8;877;1027.5;701.6;16004.4;12.5;140;982.2;280;3508.8;160.2;0;0
21.2;7059.4;340.4;48289.2;7017.5;5847.9;2757.5;5415;101929.2;11632;1022.4;821.6;420.8;22001.2;75;75;521;170;8771.9;150;0;0
23;6678.2;761.6;42105;615715.4;0;2180.8;5439.5;101929.2;12614.6;701.8;1955;726.5;568124.8;62.5;60;581.2;237.5;17543.8;200;0;0
24.7;7179.8;1965;42105;1956268.5;4385.9;1864.6;6267.3;105437.9;13035.6;1052.5;1303.2;621.2;1127241.6;62.5;175;741.4;230;35087.5;175;0;0
