Temps;Li7;B11;Mg25;Ca43;Ti49;V51;Cr53;Mn55;Ni60;Cu65;Zn66;Rb85;Sr86;Y89;Mo97;Cd111;Sn118;Ba138;Pb208;Th232;U238
1.8;7620.8;350.5;10526.3;5847.9;4385.9;2481.8;6317;21929.7;13457.2;922;1052.5;1127.8;17308;12.5;200.3;721.6;210;0;200;0;0
3.5;7620.8;420.8;17543.8;3508.8;13157.8;2581.5;4687.8;24561.3;14379.6;801.8;1027.5;701.4;18431;37.5;60;922.2;190;11695.8;140;0;0
5.3;8503.4;320.6;17543.8;7017.5;8771.9;2706.8;5489.8;26315.6;14560.4;701.3;1102.4;601;17669;50;275.3;761.8;210;0;80;0;0
7.1;8403.2;521;8771.9;10526.3;4385.9;2631.8;5865.8;30701.6;13858.2;977;1062.4;826.5;18591.6;37.5;50;781.8;287.5;7017.5;100;0;0
8.8;7901.6;240.2;17543.8;5847.9;0;2983.3;5615.5;39473.4;14760.6;561;821.8;801.4;18190.2;62.5;125;901.8;210;0;120;0;0
10.6;8162.4;280.2;14035;7017.5;0;2757;5239;35087.5;13698;641.4;1253;701.4;18611.6;0;100;902.2;130;0;200;0;0
12.4;8242.8;280.2;17543.8;3508.8;0;2381;5414.5;45648.8;13216.6;681.4;1052.5;741.6;17227.6;62.5;120.2;681.4;240;3508.8;175.3;0;0
14.1;8543.4;320.4;17543.8;4385.9;8771.9;2757.3;4863;52736.5;13437;701.2;1403.4;340.6;15984.2;25;100.2;701.4;190;8771.9;66.7;0;0
15.9;7640.8;200.2;21929.7;10526.3;7017.5;2305.8;6191.8;74692.5;14319.8;826.8;1102.6;801.6;16325.4;0;220.4;681.4;140;0;80;0;0
17.7;7781.4;526;31613.8;8771.9;0;3484.3;5966.5;92324;13678;801.5;1142.8;681.4;17969.8;0;260.4;521;130;28105.1;200.3;0;0
19.4;7781.2;360.6;38631.3;35157.7;13157.8;2331.3;5113.8;91367.9;13176.2;926.8;1323.2;621.2;17468.6;75;225.5;761.8;240;13157.8;140;0;0
21.2;7239.6;300.3;35175.2;17543.8;0;2280.8;5540.3;118639.6;11852.6;801.8;781.8;641.2;29762.8;12.5;75;882.2;270;5847.9;175.3;0;0
23;8262.8;1283;48289.2;629750.4;5847.9;2431.3;5254;108981.8;13056;761.6;1523.6;781.6;558859.2;37.5;200.3;781.8;260;10526.3;180.2;0;25
24.7;7620.8;3368.8;38596.3;2026584.3;0;2125.8;4938;123069.4;13838.2;661.2;1804.6;902;1089475.2;12.5;100;761.4;190;21052.5;150;0;0
26.5;7320;5314.4;45613.8;2881631.2;0;2130.5;6843.8;101894.1;11993.2;676.5;1979.8;1002.3;1478067.2;12.5;160;801.6;320;28070;200.3;0;0
28.3;6758.4;6317.2;38596.3;3416470.1;0;2481.8;6191.8;98420.4;14079;902.2;1644.2;701.6;1701971.2;87.5;75;541;180;31578.8;80;0;0
30.1;7320;6678.2;42105;4063799.6;0;2581.8;6367.3;105437.9;13898.4;676.5;1142.8;1042.6;2042694.4;62.5;50;882;260;35087.5;100;0;0
31.8;6598;6417.4;38596.3;4517796.8;0;2331;4993.4;105437.9;13276.8;681.4;1483.6;1082.4;2345657.6;75;20;962.2;280;42105;140;20;0
33.6;7159.6;6116.6;42105;5277756.9;8771.9;2256;5515;98385.4;13918.4;751.5;1443.6;1203;2200703.2;37.5;200.3;741.6;230;38596.3;166.7;20;0
35.4;7199.4;5655.4;42105;6452872.8;0;2732.3;4953.4;101894.1;14098.8;841.8;1579.3;1253.3;3067728.6;112.5;100;761.6;350;56175.1;80;0;0
37.1;6698.2;3489.2;38596.3;5710526;0;1779.5;4938.3;98385.4;13216.6;862;1283;1543.8;2157892.3;137.5;75;781.8;370;35087.5;225.3;0;0
38.9;6698.2;2827.4;42140.1;3785871.5;0;1779.5;6467.5;98385.4;12634.6;902.3;1022;1122.6;1886433.6;112.5;275.3;977.3;250;28070;75;0;0
40.7;6176.8;2747.2;42105;3374189.7;0;3609.6;5514.5;114209.8;12815.4;701.3;962.2;1443.6;2023214.8;125;140;841.8;220;31578.8;80;0;0
42.4;7119.4;2245.8;45613.8;4243272.2;0;2531.8;5765.5;94911.7;13096.2;851.8;1223;922.2;1577943.8;62.5;100;982.4;160;31578.8;140;0;0
44.2;7019.4;1864.6;42105;4179904.3;0;1880;5665.5;98420.4;12213.8;701.4;1203;1082.4;2104550.4;50;220.2;801.8;300;28070;200.3;0;0
