Temps;Li7;B11;Mg25;Ca43;Ti49;V51;Cr53;Mn55;Ni60;Cu65;Zn66;Rb85;Sr86;Y89;Mo97;Cd111;Sn118;Ba138;Pb208;Th232;U238
1.8;15422.6;721.6;3588.1;3588.1;0;5675.2;13687.8;8970.3;17448.4;982.2;1463.6;1127.8;41536;50;160;1543.6;260;0;501;0;0
3.5;15924.2;561.2;0;0;4485.2;5364.5;12810.3;8970.3;19052.8;1579;1403.2;1042.2;40172.2;50;140;1564;220;0;250.3;0;0
5.3;15783.6;661.2;8970.3;8970.3;0;6166.8;11356.3;8970.3;17548.6;1062.6;1879.5;1002.4;42739.2;12.5;175;1764.4;260;4485.2;551;0;0
7.1;14219.2;500.6;4485.2;0;0;5314.5;10569.2;7176.3;17247.8;1353.3;1624;962.2;39089;62.5;125.3;1403.8;360;0;220.2;0;0
8.8;14219.2;481;0;0;0;6091.3;12334.3;10764.4;18030.2;1077.5;1463.8;781.6;39530.2;25;125;1624;312.5;0;400.6;0;0
10.6;13958.6;821.6;5980.2;7176.3;7176.3;5916.3;9807;4485.2;16425.6;1503.8;1684.2;1263.2;41415.4;12.5;180;1203;180;0;180.2;0;0
12.4;14961.2;1027.3;5980.2;0;0;5073.6;13011;7176.3;16886.6;1222.8;1483.8;1002.2;40051.6;12.5;160.2;1564;240;0;440.8;0;0
14.1;14239.4;641.4;3588.1;5980.2;0;6668;12033.3;8970.3;17268;781.4;1523.8;781.6;40873.8;50;200.2;1202.8;310;0;200;0;0
15.9;13016;701.4;4485.2;7176.3;3588.1;4963.3;11757.3;4485.2;15924;1453.5;1754.5;1002.4;39650.4;87.5;320.4;1223.2;300;4485.2;521;0;0
17.7;12895.6;822;3588.1;0;0;5133.8;11632;8970.3;16886.8;1553.8;1523.8;1423.6;40051.6;25;225.3;1323;180;0;380.8;0;0
19.4;13657.6;541.2;8970.3;0;0;5515;12058.3;8970.3;15783.8;1227.8;1754.5;861.8;41576;50;160;1543.8;287.5;4485.2;200.2;0;0
21.2;13938.4;2506.8;4485.2;53893.6;10764.4;5464.8;11907.8;14352.5;17869.6;1243;13758;1122.6;547397.8;62.5;260.4;1363.4;290;4485.2;861.8;0;0
23;13176.4;10388.6;5980.2;10016206.5;0;4888;12434.5;280555.5;16806.4;1403.3;7099.4;1624;4162943.1;125;350.3;1162.8;360;28705;761.6;0;0
24.7;13417;7580.6;75458.3;8549174.8;5980.2;5013.5;12158.5;262543.1;16786.6;1162.8;8503.2;1563.8;2760256;150;100;1323.4;250;17940.6;360.6;0;20
26.5;11632;3669.8;71870.1;5314336.8;0;4913.3;10348.6;258990.9;15623.2;1378.5;2647;1243;1703782.3;150;125;1283;260;35881.3;300.2;0;0
28.3;12233.8;6197;71870.1;9164502.2;3588.1;4251.4;11983;269791.1;16064.6;1162.8;2657;1503.8;3525524.6;75;160;1283;190;39469.4;420.6;0;0
30.1;11632.2;4873.2;75458.3;8599552.1;4485.2;4938.3;13386.8;258990.9;16766.4;1002.4;3027.8;1584.2;3549090;75;150;1564;390;35881.3;581;0;0
31.8;11692.2;4893.2;75494.1;8120968;0;4010.8;13061;258990.9;16044.4;1353.3;6116.8;1523.8;3739349.5;112.5;260.2;1022.2;380;35881.3;380.8;0;0
33.6;11652;5996.4;75458.3;10125115.5;0;3429;12208.8;258990.9;16566;1604;2807.4;1563.8;4744569.3;175;300.5;1383.4;390;53857.8;501;0;25
35.4;11913;6357.2;79082.3;14338542.6;0;3684.8;12359.3;269791.1;16004.4;942;2666.8;2065.2;5395128.8;200;220.2;1323.2;300;61069.9;500.8;0;0
37.1;12394.2;6999;82670.4;12967483.6;3588.1;3469.4;9967.2;273379.2;17167.4;1263;3609.6;2185.8;5571731.5;87.5;160.2;1303;370;50269.6;476;0;33.3
38.9;11431.8;5715.4;79046.4;13802404.8;7176.3;3635;12459.3;262579;16104.6;1282.8;2225.8;1824.8;3411225.6;100;140.2;1182.6;360;43057.5;300.3;20;0
40.7;12113.2;4211.4;68317.9;7804316;0;3509.5;10509.2;248190.6;16064.4;761.6;2546.6;1122.6;2285817.6;162.5;180.2;1283.2;350;32293.1;461.2;0;0
42.4;11271;3990.6;71906;7703561.6;0;3634.8;10448.8;251778.7;16726.4;1062.2;2306;1343.2;3211353.6;100;175.3;1278.3;290;35881.3;450.5;0;0
44.2;10268.2;2426.2;71870.1;6159985.9;0;4161.3;10468.6;248190.6;15783.6;1127.8;1954.8;1243;2051795.2;75;200.3;2025.2;230;17940.6;340.4;0;0
46;11331.2;1804.4;68282;2921488.1;4485.2;4136.3;11306.3;244602.5;15904;1328.5;1704.2;1162.6;2293477.4;137.5;80;1223;260;28705;275.3;0;0
47.7;12233.6;3168.2;71906;8297288.5;5980.2;3935.5;11406.3;251778.7;16345.2;1283.4;2306;1864.6;3590313;100;175.3;942.2;390;39469.4;380.6;0;0
49.5;12334.2;3389;75458.3;8729011.8;4485.2;3985.5;11406.5;251778.7;16605.8;1042.2;1904.8;1664.4;3595835.1;137.5;275.5;1343.4;340;35881.3;280.4;0;0
51.3;11331.2;3449.2;68282;8901708.7;0;3890.4;11205.8;255366.9;14881.2;1228;2285.8;1423.6;4491758.8;87.5;260.2;1543.8;320;39469.4;240.2;0;0
53;12113.4;2988;71870.1;8236146.7;4485.2;2947.8;12309.3;251814.6;15442.6;1182.6;2682;1583.8;3099041.2;137.5;100;1453.5;387.5;39469.4;200;0;0
54.8;10749.8;3489.4;75458.3;9225536.1;4485.2;3609.5;11431.4;255366.9;15563;1203;2266.2;1704.2;3507575.7;87.5;300.2;1202.8;390;35881.3;380.6;0;167
56.6;11291.2;3569.6;71906;8667798.7;0;4110.8;12910.5;251778.7;15242;1328;2065.4;2125.4;3773676.9;150;225.5;1343.2;230;39469.4;300.4;0;0
58.3;11431.4;3629.6;68282;10409438.3;4485.2;4261.3;13010.8;255366.9;18391;902;2045.2;1563.8;4748740.6;162.6;100;1223;250;35881.3;450.5;0;0
60.1;11652;3028;71870.1;8894639.3;4485.2;3459;11757.5;251814.6;15162;1142.6;1985.2;1985;3292454.4;87.5;325.5;1343.4;390;39469.4;460.8;0;75
61.9;11271.2;2626.8;71870.1;9718616.3;0;3810.3;12208.5;248154.7;15522.8;1002.3;2225.8;1584;3762073;175;40;1102.6;310;39469.4;275.5;0;0
63.6;11291;2165.8;68282;9394680.8;4485.2;3449;12234;240978.5;15783.6;1779.3;1864.6;1904.6;4677587.8;175;125.3;1453.8;310;35881.3;220;0;0
65.4;11030.2;2446.4;68282;8423160.2;7176.3;3359;10528.8;248190.6;16285;1002.2;1784.4;1644;3629818.3;137.5;160;1263.2;160;35917.1;300.5;0;0
67.2;11211;2145.6;71870.1;8369266.4;4485.2;4136.3;11381.3;237390.4;14981.4;1323.4;2165.4;2045.4;3215710;125;220.2;1283;390;46681.5;360.6;0;0
68.9;10970.4;2466.4;68317.9;8214546.1;0;3484.3;14013.8;244566.6;14941.4;1343;2466.2;1844.6;4820395.5;75;250.3;1182.8;487.5;35881.3;601.2;0;0
70.7;11331.2;2386.4;71906;7635172;11960.4;3384;13010.8;240978.5;15402.6;1729.3;2431;1744.6;2835452.1;87.5;180.2;1222.8;300;28705;400.8;0;33.3
72.5;11170.6;2085.2;71870.1;8135392;5980.2;4136.3;12860.5;240978.5;17588.8;1122.6;2065.4;1704.4;3719179.8;150;340.4;1503.4;400;35881.3;320.2;0;0
74.2;10769.6;1744.4;68282;7584866;0;3559.8;13161.3;241014.4;14800.8;952.3;2386.2;1543.8;2535157.3;100;125;1343.4;310;28705;320.4;0;0
76;10489;2346.2;68282;5972829.5;7176.3;2707;13437;237390.4;15262.4;962;2085.4;1584;2257459.5;184.9;140;1223.2;510;32293.1;220;0;0
77.8;9907.4;1764.6;68246.1;5541070.4;0;4085.8;12960.8;240978.5;14159;942;2085.6;1684;2552819.2;75;325.5;1363.2;450;21528.8;100;0;0
79.5;9686.8;1523.6;68282;6116713.4;5980.2;3128.2;13286.8;244602.5;16405.6;1343.4;1543.8;1563.8;2272411.1;87.5;180;1323.2;360;25116.9;380.6;0;0
81.3;10509;2406.2;68282;5724495.4;0;3985.8;14239.3;230178.2;15523;1228;1965;1664;2608639.4;137.5;75;962.2;420;21528.8;425.8;0;0
83.1;10869.8;1503.6;64693.9;5958405.1;0;4236.3;13312;240978.5;14780.8;1428.5;1343.4;1403.4;2046956.2;62.5;120;1102.4;290;25116.9;180;0;0
84.8;11030.4;1403.4;71870.1;6253456.8;0;4010.8;12559.5;230178.2;16405.4;942;1925;1624;2373605.5;212.5;100;1403.6;380;21528.8;501;0;0
86.6;9767;1925;64693.9;6879620.4;4485.2;4336.8;12735.3;240978.5;15422.6;1328.3;2005.2;1584;2112530.8;162.5;220.4;1142.6;420;28705;350.5;0;0
88.4;10548.8;2045.2;64693.9;6469425.6;4485.2;3659.8;14389.5;233766.3;15182.2;1243;1844.6;1503.8;2610788.7;50;175;1002.4;800.2;32293.1;541;0;33.3
