"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,67563.1142857143,33724.5,35586.1,854140.642857143,26460.1285714286,252529.371428571,21662.8,283060.6,83596.4285714286,68151.3857142857,50046.3285714286,236959.414285714,80504.5142857143,243842.285714286,21935.8714285714,16364.7571428571,94386.4571428572,353383.885714286,176567.885714286,204711.6,225328
"2",30.1,73820.3142857143,56538,50632.2,926838.342857143,15111.6285714286,291780.571428571,23086.6,284435.6,84980.4285714286,97493.1857142857,47018.1285714286,262811.414285714,87162.5142857143,277038.285714286,28614.8714285714,17948.7571428571,100512.457142857,371561.685714286,205908.685714286,237501.6,249255.2
"3",31.8,86355.5142857143,43952.7,42040.8,1115232.04285714,23511.5285714286,344889.371428571,26817.2,383391.8,90856.8285714286,81629.1857142857,44510.9285714286,284492.214285714,94422.5142857143,303413.285714286,30740.8714285714,18410.3571428571,110552.457142857,447401.585714286,228752.685714286,259303.2,267084.8
"4",33.6,90848.1142857143,31919.3,44292.4,1194490.14285714,15670.4285714286,341078.171428571,28060.8,353343.5,82774.4285714286,82531.7857142857,46757.5285714286,293257.014285714,96790.9142857143,303088.785714286,31001.2714285714,17828.5571428571,104316.057142857,409527.285714286,213470.285714286,244481.6,252625.6
"5",35.4,83407.7142857143,32140.1,38080.7,972056.442857143,15419.1285714286,323288.571428571,23969.2,294625.9,75854.4285714286,68471.7857142857,32958.7285714286,259383.414285714,78559.3142857143,266752.585714286,22959.0714285714,16143.7571428571,90152.0571428571,332491.485714286,178633.485714286,207779.2,213536.8
"6",37.1,69047.3142857143,40142.3,72193.5,875222.542857143,15291.6285714286,265326.971428571,23327.4,267196.5,67391.2285714286,59788.1857142857,31394.5285714286,223441.814285714,71800.1142857143,233783.585714286,21715.2714285714,16143.7571428571,84816.4571428572,300158.885714286,162487.485714286,188927.2,199516.8
"7",38.9,66399.9142857143,35770.1,30103.5,829614.542857143,12779.1285714286,270259.771428571,22906.4,288619.3,65365.8285714286,74830.1857142857,36327.9285714286,233109.014285714,76794.1142857143,257892.785714286,22457.4714285714,17066.5571428571,89701.6571428571,337098.585714286,180016.685714286,217145.6,228517.6
"8",40.7,74783.1142857143,33864.9,29737.9,972695.242857143,22770.5285714286,310612.571428571,26315.8,333354.8,75373.2285714286,68391.9857142857,36588.9285714286,279938.614285714,88727.7142857143,299659.285714286,30219.2714285714,20495.9571428571,106518.457142857,404012.685714286,200153.485714286,250376.8,260364.8
"9",42.4,88441.7142857143,44233.9,43164.9,1136818.04285714,15286.0285714286,372706.971428571,28562.2,342627.5,83175.6285714286,80706.5857142857,49324.3285714286,307053.814285714,102164.514285714,349021.285714286,31783.6714285714,21578.9571428571,119632.057142857,451174.885714286,224199.885714286,284993.6,284472.8
"10",44.2,101136.914285714,30455.1,37977.6,1275839.44285714,18077.2285714286,414682.971428571,34197.8,377585.2,93524.0285714286,81308.1857142857,37993.1285714286,338602.614285714,111109.714285714,370932.285714286,32987.0714285714,22080.1571428571,126858.457142857,445503.085714286,227850.285714286,293417.6,291411.2
"11",46,104867.714285714,51253.5,45545.5,1255344.44285714,22535.4285714286,401226.971428571,31530.6,355793,89513.2285714286,79463.1857142857,36007.3285714286,321955.414285714,104290.514285714,363324.785714286,34491.2714285714,22922.7571428571,113305.657142857,426801.185714286,211645.485714286,277994.4,281204
"12",47.7,93054.5142857143,30796.3,38087.8,1178366.04285714,18125.4285714286,380929.371428571,30246.8,346192.9,81109.6285714286,76092.9857142857,36849.5285714286,299673.814285714,97330.9142857143,333231.785714286,30560.2714285714,18971.9571428571,109612.057142857,424849.085714286,199691.085714286,261628.8,273902.4
"13",49.5,89624.5142857143,32641.5,37930.6,1093428.74285714,15362.9285714286,353494.171428571,27077.8,317703.1,77920.4285714286,73686.7857142857,30632.1285714286,283487.414285714,94944.9142857143,319842.785714286,29075.8714285714,17327.1571428571,107449.257142857,396459.785714286,186936.685714286,245304,251801.6
"14",51.3,86295.5142857143,32180.3,34920,1042060.34285714,22625.6285714286,335542.171428571,25252.8,314499.1,73728.4285714286,73847.1857142857,31253.9285714286,278674.614285714,90691.7142857143,311898.785714286,26408.4714285714,17487.5571428571,103285.257142857,361134.785714286,191268.685714286,247268.8,253688
"15",53,77892.3142857143,28068.7,37677.3,1002677.34285714,15257.9285714286,328502.971428571,27639.6,298783.2,73267.2285714286,65985.3857142857,26881.5285714286,275886.614285714,86100.1142857143,300762.285714286,27331.4714285714,17547.9571428571,95647.6571428571,372267.885714286,174239.885714286,237260.8,242956.8
"16",54.8,81963.5142857143,30254.7,32401.1,1041309.84285714,18009.4285714286,333337.371428571,25935,316329.5,74170.0285714286,71861.7857142857,28466.1285714286,274022.614285714,85678.9142857143,307306.285714286,27451.6714285714,17788.3571428571,102294.057142857,370860.785714286,189282.285714286,244742.4,249094.4
"17",56.6,80880.9142857143,35690.1,32369.8,1054726.14285714,20704.1285714286,334038.171428571,26777.2,319031.3,73568.4285714286,67809.7857142857,32818.1285714286,272298.614285714,91273.7142857143,306230.285714286,28995.8714285714,17547.7571428571,104256.457142857,365396.585714286,194857.885714286,236500.8,242316.8
"18",58.3,80017.7142857143,29332.1,35178,1046132.84285714,18046.6285714286,340274.971428571,29464.6,314484.7,71100.8285714286,71179.5857142857,29348.5285714286,275526.614285714,84475.3142857143,310971.785714286,28855.6714285714,15903.3571428571,101593.657142857,368893.085714286,186575.485714286,239148,244241.6
