Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
33,451;334,0;601,3;441788,0;12241,0;87956,0;1207,2;813616,0;39735,0;3796,5;299,0;449,0;649,0;299,0;349,0;26186,0;0,0;99,5;22226,8;149,5;4046,5;99,5;99,5;99,5;0,0;149,0;0,0;0,0;0,0;0,0
34,845;333,7;401,0;431712,0;12791,0;85154,0;1307,8;812072,0;37784,0;2947,0;349,0;499,0;999,0;349,5;249,0;27885,5;199,0;0,0;23574,2;49,5;3447,0;99,5;49,5;49,5;0,0;0,0;0,0;49,5;0,0;0,0
36,238;200,3;935,3;436044,0;12841,0;88357,0;1542,7;789600,0;37534,5;3396,5;49,5;749,0;649,0;299,0;349,0;29685,0;149,0;49,5;22479,3;0,0;2747,0;0,0;0,0;0,0;0,0;49,5;49,5;0,0;0,0;49,5
37,632;400,7;467,3;429896,0;12691,0;88406,0;972,7;812584,0;38384,5;5345,5;199,0;449,0;849,0;199,0;349,0;27685,5;0,0;149,0;24753,0;0,0;1848,0;49,5;0,0;0,0;99,5;49,5;0,0;0,0;0,0;0,0
39,026;601,0;334,0;452172,0;11642,0;84653,0;1173,7;805288,0;37684,5;4796,0;349,0;849,0;599,0;249,0;399,5;30585,0;0,0;99,5;27195,7;0,0;3946,5;0,0;49,5;49,5;199,0;0,0;0,0;0,0;0,0;0,0
40,420;133,3;601,3;448948,0;13690,5;83352,0;1072,8;796616,0;39384,0;3996,0;799,0;749,0;499,0;599,0;499,0;30085,5;0,0;149,5;24669,3;0,0;2947,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
41,813;735,0;601,3;449248,0;11741,5;83752,0;1542,8;807608,0;38184,5;3647,0;399,0;899,0;899,0;349,0;349,0;28735,5;0,0;0,0;24247,8;149,5;2697,5;0,0;0,0;49,5;199,0;0,0;0,0;0,0;0,0;0,0
43,207;133,3;534,3;425664,0;12591,0;88807,0;1173,8;793104,0;36484,5;4546,0;199,0;399,0;549,0;299,0;349,0;30485,0;49,5;249,0;25090,3;0,0;3396,5;0,0;49,5;0,0;99,5;149,0;0,0;0,0;0,0;0,0
44,601;534,3;400,7;432916,0;15289,5;87456,0;1073,0;791168,0;36084,5;3846,5;199,5;449,0;1098,5;399,0;399,0;27286,0;49,5;49,5;22058,5;0,0;3447,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
45,995;66,7;534,7;416896,0;14090,0;87556,0;1408,7;792040,0;38984,0;3796,5;299,0;349,0;749,0;99,5;699,0;25536,0;49,5;0,0;25342,7;49,5;3097,0;49,5;49,5;0,0;199,0;49,5;0,0;0,0;0,0;0,0
