Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
150,523;54449,0;24875,3;377630880,0;182782,4;24448194,0;767955,3;807280,0;205706,0;10292,5;152908,0;5195,5;101521,0;42784,0;30684,5;61038,0;36284,0;225626,0;91075,7;293016,0;131366,0;22186,5;34884,0;101671,0;493480,0;306388,0;331024,0;328508,0;437100,0;326500,0
151,917;57996,3;26213,3;387188256,0;189269,7;24896012,0;792989,3;838232,0;213586,0;10442,5;160276,0;5545,5;101771,0;50084,5;33034,0;63839,5;33034,0;219504,0;90316,0;293420,0;141334,0;20387,5;33884,0;105626,0;486620,0;305936,0;323936,0;346316,0;427276,0;318352,0
153,311;57327,3;20528,0;383533056,0;191569,0;24657228,0;811532,7;829888,0;214134,0;9443,0;169498,0;5395,5;102071,0;43184,0;28635,0;67791,0;32434,0;210974,0;88714,0;299756,0;135373,0;20887,0;29384,5;100320,0;489896,0;305884,0;324636,0;323332,0;436240,0;296188,0
154,705;54381,7;23203,0;372826080,0;192902,1;24925900,0;769535,6;823720,0;219504,0;10292,5;151006,0;6345,0;102072,0;46384,0;28234,5;62439,0;34884,0;213382,0;91075,3;294476,0;129262,0;24086,0;32184,0;93011,0;460192,0;290256,0;305736,0;299100,0;368304,0;246156,0
156,098;29156,3;11432,7;173715728,0;101776,5;11528724,0;317851,4;766560,0;96565,0;5845,0;53985,5;1948,0;30834,5;13940,0;8593,5;35184,5;7794,0;47184,0;37387,3;65639,5;30234,5;4596,0;6245,0;16389,0;81700,0;51635,0;56686,5;50234,5;63689,0;38434,0
157,492;4077,7;1737,7;25143840,0;25040,8;1549280,0;44302,7;733984,0;42484,0;4196,0;9642,5;999,0;5745,0;2048,0;1848,0;26336,0;949,0;6594,5;24247,7;9892,5;7644,0;699,0;899,0;2397,5;12341,0;8043,5;9243,0;8144,0;10042,5;6844,5
158,886;802,0;668,3;5073171,0;15275,4;368056,0;9125,5;740920,0;35834,5;3647,0;2547,5;599,0;1598,5;499,0;349,0;24886,0;349,0;1698,0;23911,0;2298,0;3846,5;149,0;299,0;699,0;3247,0;1748,0;1148,5;1548,0;2447,5;1348,5
160,279;601,0;400,7;1590640,0;11791,5;141736,0;2985,5;728656,0;34634,5;4396,0;899,0;649,0;948,5;549,0;349,0;24686,0;149,0;649,0;22816,3;499,0;2348,0;149,0;99,5;99,0;849,0;499,0;599,0;599,0;349,0;599,0
161,673;267,0;400,7;791376,0;12840,5;104725,0;2213,7;735856,0;35735,0;4796,0;1598,0;699,0;599,0;449,0;399,0;27985,5;49,5;499,0;22816,2;249,0;3597,0;49,5;49,5;99,0;349,0;149,0;149,0;399,0;449,0;49,5
163,067;401,0;734,7;757712,0;12840,5;90408,0;1307,8;764040,0;30834,5;3047,5;1648,0;449,0;849,0;299,0;399,0;23486,5;99,0;99,5;24500,7;299,0;4196,5;0,0;0,0;0,0;49,5;99,0;0,0;99,5;149,5;49,5
