"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",30.1,NA,3.53465037483994e-06,0.000227861523200142,1,NA,NA,NA,4.87467842304775e-05,NA,NA,2.46213728122305e-06,NA,0.00587808852223161,NA,NA,NA,NA,1.44497589506017e-05,NA,0,0
"2",31.8,NA,NA,0.000190126309191828,1,NA,NA,NA,4.33405210423619e-05,NA,NA,NA,2.00541217085889e-07,0.00557658013432209,NA,NA,NA,NA,1.18693707303686e-05,NA,0,0
"3",33.6,NA,3.71946442206209e-06,0.000210551609621253,1,NA,NA,NA,4.65194790901662e-05,NA,NA,NA,NA,0.00607229087152003,NA,NA,NA,NA,1.40635880023476e-05,NA,0,0
"4",35.4,NA,3.68908198854198e-06,0.000217010693329857,1,NA,NA,NA,4.21086026444952e-05,NA,NA,NA,1.99947005144782e-07,0.00578779354952274,NA,NA,NA,NA,1.34096806267867e-05,NA,0,NA
"5",37.1,NA,3.60059837908321e-06,0.000216891150329926,1,NA,NA,NA,4.54431799924389e-05,NA,NA,NA,1.79136225162964e-07,0.00610140985026508,4.93340523175468e-08,NA,NA,NA,1.34603338143252e-05,NA,0,0
"6",38.9,NA,2.78499879775285e-06,0.000219357008448077,1,NA,NA,NA,4.86754414036752e-05,NA,NA,NA,1.80871576593695e-07,0.00562321467388391,NA,NA,NA,NA,1.48000362340121e-05,NA,0,0
"7",40.7,NA,2.92418396580048e-06,0.000250460332735333,1,NA,NA,NA,4.83330776738254e-05,NA,NA,NA,NA,0.00557225878612202,NA,NA,NA,NA,1.43829315640641e-05,NA,0,0
"8",42.4,NA,4.39801719739306e-06,0.000259436423975105,1,NA,NA,NA,5.00251540746903e-05,NA,NA,2.48188664014685e-06,NA,0.00595554481142165,5.5616091175295e-08,NA,NA,NA,1.36600984538219e-05,NA,0,0
"9",44.2,NA,3.21894717521176e-06,0.000201172681748129,1,NA,NA,NA,4.89003488084788e-05,NA,NA,NA,2.14302357060372e-07,0.00561087104365858,NA,NA,NA,NA,1.26241306726604e-05,NA,0,0
"10",46,NA,2.77470781076683e-06,0.000237585961708074,1,NA,NA,NA,4.45119208940131e-05,NA,NA,NA,NA,0.00551995140736723,NA,NA,NA,NA,1.36325073011354e-05,NA,0,0
"11",47.7,NA,4.08183559394194e-06,0.000249577897018651,1,NA,NA,NA,4.45813020735184e-05,NA,NA,NA,1.35981303236305e-07,0.00539471408283556,NA,NA,NA,NA,1.32556862042622e-05,9.69481251444827e-08,0,0
"12",49.5,NA,3.82071513883747e-06,0.000259533105106455,1,NA,NA,NA,4.7697816273331e-05,NA,NA,NA,3.2070861266255e-07,0.00565783465013288,3.49219045271096e-08,NA,NA,NA,1.37844314019998e-05,NA,0,0
"13",51.3,NA,4.21261867165663e-06,0.000228402654214862,1,NA,NA,NA,4.65331957779196e-05,NA,NA,NA,2.09439375884369e-07,0.00614540726001855,NA,NA,NA,NA,1.19212281965233e-05,NA,0,0
"14",53,NA,4.19234183220422e-06,0.000266957158245097,1,NA,NA,NA,4.76857039608892e-05,NA,NA,NA,3.2144617520122e-07,0.0057401439674965,NA,NA,NA,NA,1.41787408338252e-05,NA,0,0
"15",54.8,NA,4.06943943723078e-06,0.000234717080472208,1,NA,NA,NA,4.55696601424182e-05,NA,NA,NA,1.5740790976277e-07,0.00625441737301663,3.15827434491265e-08,NA,NA,NA,1.24663922674517e-05,NA,0,0
"16",56.6,NA,2.98280078785121e-06,0.000217015800184338,1,NA,NA,NA,4.21408461985323e-05,NA,NA,NA,2.88593927393258e-07,0.00516331330944956,3.84723266070766e-08,NA,NA,NA,1.15283791354029e-05,NA,0,0
"17",58.3,NA,3.28489955440978e-06,0.000208418335858025,1,NA,NA,NA,4.24491013914838e-05,NA,NA,2.40070396591345e-06,1.33519105608539e-07,0.00542966413156572,NA,NA,NA,NA,1.51233014258475e-05,NA,0,0
"18",60.1,NA,4.13230734603696e-06,0.000205213761411153,1,NA,NA,NA,4.18992641902318e-05,NA,NA,NA,2.94837400152362e-07,NA,3.4563289431819e-08,NA,NA,NA,1.37070516729368e-05,NA,0,0
"19",61.9,NA,2.97165796337105e-06,0.000214614634327926,1,NA,NA,NA,4.50107675518534e-05,NA,NA,NA,2.16512695396521e-07,0.00556921881169846,NA,NA,NA,NA,NA,NA,0,0
"20",63.6,NA,2.43452032046415e-06,0.00020851997570798,1,NA,NA,NA,4.37242692230354e-05,NA,NA,NA,2.07673797250453e-07,0.00535279618132439,NA,NA,NA,NA,1.09879976367108e-05,NA,0,0
"21",65.4,NA,1.93543583431913e-06,0.000200857825066681,1,NA,NA,NA,4.21743926210218e-05,NA,NA,NA,2.25046893369161e-07,0.00496623310794515,5.69669950369646e-08,NA,NA,NA,1.25400221267135e-05,NA,0,0
"22",67.2,NA,NA,0.00024711063029675,1,NA,NA,NA,4.88481510468329e-05,NA,NA,NA,1.58306562653201e-07,0.00696850122419885,NA,NA,NA,NA,1.28976706670976e-05,NA,0,0
"23",68.9,NA,3.2232905284375e-06,0.000297982156058828,1,NA,NA,NA,5.17236631243848e-05,NA,NA,NA,2.2811070801626e-07,0.0053078275357699,NA,NA,NA,NA,1.06685840179674e-05,NA,0,0
"24",70.7,NA,3.63821556488181e-06,0.000257529603197285,1,NA,NA,NA,5.08921439117877e-05,NA,NA,NA,NA,0.00529868959360434,NA,NA,NA,NA,1.21300970941437e-05,NA,0,0
"25",72.5,NA,2.15840377032983e-06,0.000294177009912419,1,NA,NA,NA,5.81848454008129e-05,NA,NA,NA,2.64469303799476e-07,0.00555662344247507,NA,NA,NA,NA,1.08697533414161e-05,NA,0,0
"26",74.2,NA,2.38903061669386e-06,0.000282492031100817,1,NA,NA,NA,NA,NA,NA,NA,2.555727862488e-07,0.00561546271017291,NA,NA,NA,NA,1.4605354632965e-05,NA,0,0
"27",76,NA,2.38350128798581e-06,0.000268789575140113,1,NA,NA,NA,5.46201224815734e-05,NA,NA,NA,2.32015667217924e-07,0.00590403513461136,NA,NA,NA,NA,1.2369355543277e-05,NA,0,0
"28",77.8,NA,3.37059417180614e-06,0.000297658208217582,1,NA,NA,NA,5.41249549747108e-05,NA,NA,NA,NA,0.00600682656221732,NA,NA,NA,NA,1.56851528364973e-05,NA,0,0
"29",79.5,NA,2.36174221164672e-06,0.000254329212556743,1,NA,NA,NA,5.16816648608866e-05,NA,NA,NA,NA,0.00694897531682766,NA,NA,NA,2.53990261320512e-07,1.17039079864469e-05,NA,0,0
"30",81.3,NA,2.61627018308823e-06,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"31",83.1,NA,2.69653779248434e-06,0.000259261852264561,1,NA,NA,NA,5.28661787705063e-05,NA,NA,4.1015771189301e-06,2.13913507899783e-07,0.00707467947539217,4.10069275324538e-08,NA,NA,NA,1.22223102992166e-05,NA,0,0
"32",84.8,NA,3.6294032293751e-06,0.000310863321559572,1,NA,NA,NA,5.30454511851446e-05,NA,NA,NA,NA,0.00602705041200411,NA,NA,NA,NA,1.20127530999945e-05,NA,0,NA
