"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",1.8,9225.2,220.2,0,3508.8,8771.9,2782.5,6066.3,7017.5,15442.8,621.2,1142.6,420.6,18270.6,37.5,225.3,1027.3,210,4385.9,220.2,0,0
"2",3.5,7600.8,320.4,4385.9,3508.8,5847.9,2286,4612.2,13157.8,14500,927,1202.8,661,18290.6,57.1,150,841.8,275,8771.9,100,0,0
"3",5.3,8162.4,240.2,5847.9,0,0,2882.5,5790.8,8771.9,15884.2,1027.3,902,681.2,18752,50,100,661.2,240,0,140,0,0
"4",7.1,8944.6,525.8,8771.9,0,0,2165.6,5891,13157.8,13738,1002.3,922.2,701.8,19193.2,12.5,300.3,781.8,120,0,175.3,0,0
"5",8.8,8001.8,250.3,5847.9,0,5847.9,2531.5,5539.8,14035,13777.8,877,1243,741.4,17107.4,12.5,200.2,601,300,4385.9,80,0,0
"6",10.6,8503.2,425.5,3508.8,0,0,2045.4,5554.8,13157.8,14440,952.3,1002.5,681.2,17729.2,0,100,841.8,262.5,3508.8,175.3,0,0
"7",12.4,8142.2,420.8,8771.9,4385.9,0,2682,4672.6,14035,13517.2,1202.8,1127.5,701.5,17488.4,62.5,50,621.2,240,0,50,0,0
"8",14.1,8022,300.4,5847.9,8771.9,3508.8,2506.8,5715.3,13157.8,13878.6,776.8,922,641.2,17849.2,37.5,25,741.6,190,0,120.2,0,0
