Analysis;Time/Rank
NIST_612_1.csv;1
NIST_612_2.csv;5
NIST_612_3.csv;9
NIST_612_4.csv;13
Bc_03_03_01G_Tr1.csv;2
Bc_03_03_01G_Tr2.csv;3
Bc_03_03_01G_Tr3.csv;4
Bc_80_02_03G_Tr1.csv;6
Bc_80_02_03G_Tr2.csv;7
Bc_80_02_03G_Tr3.csv;8
Bc_169_G_Tr1.csv;10
Bc_169_G_Tr2.csv;11
Bc_169_G_Tr3.csv;12
