"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",30.1,NA,1264.0375,38119.6625,3918383.625,NA,NA,NA,110589.925,NA,NA,NA,713.2625,1582131.05,NA,NA,NA,NA,33917.9125,NA,0,0
"2",31.8,NA,1083.6375,41593.3625,4544590.725,NA,NA,NA,107081.225,NA,NA,NA,NA,1852057.45,NA,NA,NA,NA,47988.0125,NA,0,33.3
"3",33.6,NA,923.2375,48654.6625,5624934.425,NA,NA,NA,110589.925,NA,NA,NA,412.4625,2266822.25,NA,NA,NA,NA,51531.8125,NA,0,0
"4",35.4,NA,1324.2375,38119.6625,5477145.825,NA,NA,NA,103537.325,NA,NA,NA,532.8625,2356198.25,NA,NA,NA,231.25,51496.7125,NA,0,0
"5",37.1,NA,1424.6375,38084.5625,5255393.225,NA,NA,NA,121168.825,NA,NA,NA,492.6625,1488851.05,NA,NA,NA,NA,30409.2125,NA,0,0
"6",38.9,NA,1083.6375,34610.8625,3376562.525,NA,NA,NA,121168.825,NA,NA,NA,452.6625,1455183.25,NA,NA,NA,NA,40935.4125,NA,0,0
"7",40.7,NA,1204.0375,38084.5625,4875430.425,NA,NA,NA,107046.125,NA,NA,NA,833.8625,2135103.85,NA,NA,NA,NA,47988.0125,NA,0,0
"8",42.4,NA,1103.8375,38084.5625,5037324.125,NA,NA,NA,100028.625,NA,NA,NA,923.8625,2030188.65,NA,NA,NA,NA,44444.2125,NA,0,0
"9",44.2,NA,863.0375,38119.6625,4530590.425,NA,NA,NA,103537.325,NA,NA,NA,553.0625,1892134.25,NA,NA,NA,NA,44479.2125,NA,0,0
"10",46,NA,1003.4375,38084.5625,4484906.625,NA,NA,NA,103502.325,NA,NA,NA,NA,1690905.45,NA,NA,NA,NA,40935.4125,NA,0,0
"11",47.7,NA,863.0375,38084.5625,4885992.025,NA,NA,NA,103537.325,NA,NA,NA,613.0625,1828761.45,NA,NA,NA,NA,44479.2125,NA,0,0
"12",49.5,NA,963.0375,41628.3625,4516555.325,NA,NA,NA,99993.525,NA,NA,NA,372.4625,1936550.25,120.75,NA,NA,NA,37426.7125,NA,0,0
"13",51.3,NA,963.0375,41628.3625,4639677.625,NA,NA,NA,100028.625,NA,NA,NA,653.0625,1676185.45,NA,NA,NA,NA,37426.7125,NA,0,0
"14",53,NA,903.2375,34575.8625,4562274.525,NA,NA,NA,116782.925,NA,NA,NA,NA,1802054.25,NA,NA,NA,NA,44444.2125,NA,0,0
"15",54.8,NA,802.8375,38084.5625,3809331.625,NA,NA,NA,96519.825,NA,NA,NA,NA,1725516.65,NA,NA,NA,NA,37426.7125,NA,0,0
"16",56.6,NA,727.5375,34575.8625,4604519.625,NA,NA,NA,103537.325,NA,NA,NA,572.6625,1550777.45,NA,NA,NA,NA,40970.5125,NA,0,0
"17",58.3,NA,602.2375,41628.3625,3932488.825,NA,NA,NA,99993.525,NA,NA,NA,NA,1834233.45,NA,NA,NA,NA,40935.4125,NA,0,0
"18",60.1,NA,782.8375,39838.9625,4403855.125,NA,NA,NA,100028.625,NA,NA,NA,572.8625,1881267.85,NA,NA,NA,NA,44444.2125,NA,0,0
"19",61.9,NA,622.2375,34575.8625,3735367.425,NA,NA,NA,99993.525,NA,NA,NA,232.0625,2063939.65,NA,NA,NA,NA,33917.9125,NA,0,0
"20",63.6,NA,702.4375,38084.5625,3837471.925,NA,NA,NA,99993.525,NA,NA,NA,432.4625,1653081.45,NA,NA,NA,NA,44444.2125,NA,0,0
"21",65.4,NA,642.4375,38084.5625,4344135.425,NA,NA,NA,100028.625,NA,NA,NA,NA,1305120.35,NA,NA,NA,NA,40970.5125,NA,0,0
