"","","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1","mean","Bc_02_11_12_G_Spot1.csv","NaN","5.4740164512829e-06","0.000136757745348597","1","NaN","4.87788116744895e-07","NaN","2.20083749109452e-05","NaN","8.79719706501521e-07","8.28349955581393e-05","2.72981627216065e-07","0.00519968732675042","3.96594717276534e-08","NaN","NaN","1.77542428817589e-07","7.55081144559849e-06","7.35201562492391e-08","3.74972789532017e-10","0"
"2","mean","Bc_02_11_12_G_Spot2.csv","NaN","4.40644151216194e-06","NaN","1","NaN","NaN","5.708915643195e-06","NaN","NaN","NaN","3.55629286391733e-06","1.96968372939529e-07","0.00525304568078207","3.84851167997192e-08","NaN","NaN","NaN","1.4492080121393e-05","3.83393350385733e-07","0","1.98487945302995e-08"
"3","mean","Bc_02_11_12_G_Spot3.csv","NaN","3.03352724178245e-06","0.000185536432355247","1","NaN","NaN","NaN","3.36927296524542e-05","NaN","NaN","NaN","1.75737063103201e-07","0.00452178482501084","4.49509249498945e-08","NaN","NaN","1.89479035495029e-07","1.14453332944649e-05","NaN","0","0"
"4","sd","Bc_02_11_12_G_Spot1.csv",NA,"3.54947506432909e-06","1.66441200841572e-05","0",NA,NA,NA,"3.34222737023987e-06",NA,NA,"0.000111909521486807","7.53532676221285e-08","0.000538717450961664","1.05752863840395e-08",NA,NA,"1.0830988970026e-07","7.54039260967763e-07",NA,"1.45612959112271e-09","0"
"5","sd","Bc_02_11_12_G_Spot2.csv",NA,"1.29906675239579e-06",NA,"0",NA,NA,NA,NA,NA,NA,"7.06274313127071e-08","3.78062131098943e-08","0.00090726838872791","9.26568009479277e-09",NA,NA,NA,"1.90461146478499e-06",NA,"0",NA
"6","sd","Bc_02_11_12_G_Spot3.csv",NA,"5.64075679169248e-07","2.1534147497738e-05","0",NA,NA,NA,"3.23278282285044e-06",NA,NA,NA,"5.65194512788918e-08","0.000484441174705728",NA,NA,NA,NA,"1.13567520147375e-06",NA,"0","0"
"7","total mean","-","NaN","4.30578019416462e-06","0.000161960066968699","1","NaN","4.87788116744895e-07","5.708915643195e-06","2.79463256812202e-05","NaN","8.79719706501521e-07","4.31956442110283e-05","1.87801067105714e-07","0.00499150594418111","3.9110397843508e-08","NaN","NaN","1.79929750153077e-07","1.12756054356141e-05","2.28456753317486e-07","1.26349526907528e-10","3.20141847262895e-10"
"8","mean sd","-",NA,"2.39219828210814e-06","3.11690530936257e-05","0",NA,NA,NA,"6.7316469883601e-06",NA,NA,"7.9180929287548e-05","5.51073302575198e-08","0.000742486318598271","9.50188460217431e-09",NA,NA,"9.3950894998165e-08","3.1623699400744e-06","2.19113436881851e-07","8.5484679748492e-10","2.52079942614872e-09"
