Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
52,963;400,7;200,3;485788;11242;72744;1341,3;796504;36384,5;4546;2097,5;649;749;249,5;349;23886,5;49,5;149,5;25258,3;149;2447,5;0;49,5;0;49,5;99;0;0;49,5;0
54,357;400,7;400,7;479132;11641,5;69692;1744;776704;39584;4396,5;1997,5;349,5;549;349;249;26536;49,5;99,5;25258,7;0;3397;0;0;0;0;99;49,5;0;0;0
55,75;200,3;668;495368;13840;72043;1610;796512;35384,5;3896,5;1598,5;799;549;199;349;21587;49,5;0;21974,3;0;3247;99,5;49,5;0;0;0;0;49,5;0;0
57,144;200,3;66,7;507772;11941,5;72344;1341,3;784536;36084;3996,5;1748;349;449;99,5;99,5;26885,5;0;99,5;21469;0;2847,5;0;0;0;49,5;0;0;0;0;0
58,538;334;333,7;492748;12241,5;71393;1341,5;785248;36934,5;3946,5;1598;599;799;149;149;25586;0;149;26690,2;0;3347;0;49,5;99,5;0;49,5;0;0;0;0
59,932;400,7;334;500008;12291,5;69842;1307,7;800544;35684,5;3546,5;1498;449;749;249,5;349;27185,5;0;99,5;20542,5;0;3047;49,5;99;99,5;0;99,5;0;0;0;99,5
61,325;400,7;467,7;485180;13940,5;71693;1710,5;804656;33585;4446;1848;199;499;199;549;25536;0;149,5;23153,3;0;2547,5;0;49,5;49,5;149;99,5;0;0;0;0
62,719;133,3;267;500208;11891,5;70492;1140,2;778240;36984;4646;1398,5;649;599;99,5;349,5;26336;49,5;0;19447,7;0;3297;99,5;49,5;0;0;0;0;0;0;0
64,113;334;334;504648;14140,5;73094;1509,2;787536;34084,5;4546,5;1698;1148,5;699;199,5;399;28135,5;49,5;99,5;21216,2;0;2647,5;49,5;99,5;0;49,5;99,5;0;99,5;0;0
65,506;66,7;400,7;475096;12291;69741;1777,7;785664;35534,5;3497;1798;599;949;399;249;28886;49,5;249;20879,5;0;2298;99,5;0;99,5;0;0;0;0;0;49,5
66,9;334;601,3;504948;12491;68391;1777,5;774640;35584,5;3896,5;2397,5;299;849;249;249;26585,5;149,5;49,5;22984,7;0;2597,5;0;0;49,5;0;0;0;0;0;49,5
68,294;467,3;200,3;500512;13190,5;72644;1509,2;792376;36634;3897;1698;449;749;99,5;599;23436,5;0;49,5;23490;49,5;2448;0;0;0;149;49,5;0;0;0;99,5
69,688;66,7;668;476104;11991;70242;1542,7;780368;36334,5;4796;1448,5;699;849;49,5;249;28285,5;0;0;22900,3;0;2697,5;0;0;0;0;49,5;0;0;0;0
71,081;334;334;508380;12541;68541;1240,8;800608;36434,5;3796,5;1748,5;1248,5;549;149;499;26236;99;49,5;20626,7;49,5;3497;0;0;49,5;0;49,5;0;0;0;0
